,Beryl,name,Cosmos,# recordings,# neurons,# good neurons
0,VeCB,Vestibulocerebellar nucleus,CBN,5,192,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
1,DN,Dentate nucleus,CBN,9,291,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
2,IP,Interposed nucleus,CBN,23,1526,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
3,FN,Fastigial nucleus,CBN,5,79,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
4,FL,Flocculus,CBX,5,151,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
5,PFL,Paraflocculus,CBX,7,460,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
6,COPY,Copula pyramidis,CBX,15,1070,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
7,PRM,Paramedian lobule,CBX,16,1947,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
8,ANcr2,Crus 2,CBX,13,1609,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
9,ANcr1,Crus 1,CBX,9,1448,"[  18   29  175    8    9   38   60  129  141  138  211   37   16   13
   12   24  311  133  114    9    1    1    3   11   33   50  128   16
   13   18    0   89   41   21   11    2  176    0   10  134    0    1
   14    0   37   66   11   28    5    3   16   57  161   17   16    0
   69    7    0    6   64   62   19   63    1   21    3   13   10   87
   46   39   27   16    4    2    5   52   15    0    7    6    3    1
    1    7   95   36    8   17   16   28   34    0  524  253  543  709
   10    3   52    8   23   10  118   65  179   10    4   24    9   86
    8    1    3    1    8    4    6    3    0   11   32   14    7    2
    3   17    8    0   50    3    4  103    6   50   15   36   37    3
    0    3    1   75   15   71  371    1  223   11    7   73   92  206
   88   97 1211  979  296  166    1   12   39  139   13  587   43  206
   59  128  109   43   23   45   21  133   23  105  140   14  127   15
    2   50  108  811   46   52   19  233 1781   75  154  116   45   72
   75   41    6   35  200  358   46   74   73  195  266    3    9  574
  526   24 1056   36   56   99   10  389  199    0  189  272    1   31
   62    6  141   50  637  234  181  179  107   92  171  389  202  142
  233  292  139  253   83   60  118   41  412   98  228   29  101    7
  106   25   51   53  242   36  179  128  156  105  270   28  882 1002
   64]"
