,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
0,FRP,0.9437975254388655,False,2.0,15.5,0.0009037394746025385,0.5031903248404561,-0.05112712206485903,0.0,,0.5543174469053151
1,MOp,6.340912853863867e-05,True,21.0,42.76190476190476,0.057265199417604475,0.6300187969924812,0.03851607960169923,0.19047619047619047,0.6820190069142529,0.593511412990236
2,MOs,0.042164847742655,True,24.0,34.25,0.06457340621885614,0.6029911827624121,0.010179265702795481,0.08333333333333333,0.6491732609784696,0.5880620510273469
3,SSp-n,0.06673104276745574,False,2.0,13.0,0.05516913976251331,0.6269115640049374,0.06097689374400578,0.5,0.6820807037674508,0.5659346702609317
4,SSp-bfd,0.12261616492390526,False,9.0,22.444444444444443,0.04054996343804227,0.5765141914191418,0.02751878895808324,0.1111111111111111,0.6730832164562879,0.5635193210545323
5,SSp-ll,0.0559427064232285,False,3.0,28.666666666666668,0.013622890194813195,0.6243596954226877,0.0423182802326858,0.0,,0.5704371758230126
6,SSp-m,0.6539810476161725,False,6.0,24.333333333333332,0.05866825406197361,0.5562839868438136,-0.02096537324598785,0.0,,0.5615468759367033
7,SSp-ul,0.07679894457827074,False,4.0,23.5,0.057772392692286054,0.6030555305443386,0.0027149016666372927,0.25,0.6829375074967015,0.5837491979408083
8,SSp-tr,0.08603841516342028,False,5.0,23.6,0.047978186904076486,0.6016872775686817,0.02714759475838968,0.2,0.6646915584415585,0.5764497966843916
9,SSp-un,,,,,,,,,,
10,SSs,0.1599427406610508,False,5.0,41.6,0.048137593871991215,0.5804604486422669,0.01237599723860383,0.0,,0.5620626060843452
11,GU,,,,,,,,,,
12,VISC,0.03331520467864015,True,2.0,23.0,0.05873123185857071,0.6289966783798584,0.04832729820221654,0.5,0.6877279102384292,0.5806693801776419
13,AUDd,,,,,,,,,,
14,AUDp,0.6279591973830345,False,4.0,24.25,0.026842059084704762,0.5783964721669235,-0.004593564669247319,0.0,,0.5776198520889613
15,AUDpo,,,,,,,,,,
16,AUDv,0.23680018373632164,False,4.0,23.75,0.05584833807396162,0.5258027114774448,-0.037676860117400346,0.25,0.6437929168532617,0.5677193155612829
17,VISal,,,,,,,,,,
18,VISam,0.20087521210080747,False,8.0,23.0,0.05575375962520029,0.60695170734222,-0.008872449030444873,0.25,0.6403422930631448,0.5837790219196627
19,VISl,0.9600326072127485,False,3.0,20.666666666666668,0.009058223851532031,0.502916834718077,-0.027422946281811744,0.0,,0.5291117712907948
20,VISp,0.227433697924735,False,14.0,25.285714285714285,0.04698671645502636,0.5717411830029646,0.010941431516138078,0.0,,0.5757696899165226
21,VISpl,,,,,,,,,,
22,VISpm,0.2617735316066918,False,3.0,30.666666666666668,0.0299445406996856,0.5641755958889132,0.00020325037849999728,0.3333333333333333,0.5918039094966908,0.5639723455104132
