,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
0,FRP,0.006092977229120009,True,2.0,15.5,0.07230691106884624,0.6406753466115539,0.12329404643147768,0.5,0.7129822576804001,0.5173813001800762
1,MOp,2.7142215311096505e-18,True,23.0,42.43478260869565,0.10358003847187455,0.6458580501081721,0.11161159620746286,0.6956521739130435,0.6914360007496252,0.5227272727272727
2,MOs,3.568610280051186e-20,True,24.0,34.25,0.11994482514859396,0.6912944373266434,0.1685286307329817,0.75,0.7208102488694241,0.5286605777490396
3,SSp-n,0.004637075368944235,True,2.0,13.0,0.04513714190061702,0.6341732029269692,0.12024523802267367,0.5,0.6793103448275862,0.5139279649042956
4,SSp-bfd,6.1999462962022644e-09,True,10.0,21.2,0.05574737528891548,0.586193699144911,0.07576530497866663,0.6,0.6687335548197773,0.5178606697190052
5,SSp-ll,0.0006952569170168742,True,3.0,28.666666666666668,0.045095128639610266,0.6164679442912057,0.08662400412081306,0.6666666666666666,0.6293965352056134,0.5298439401703926
6,SSp-m,0.0025745674302448734,True,6.0,24.333333333333332,0.0674174864247002,0.5595378201413259,0.03033338619482201,0.3333333333333333,0.6552872974729519,0.5165351840031328
7,SSp-ul,3.158537678059543e-05,True,4.0,23.5,0.1365134371256995,0.6928171740622819,0.15671925046508017,0.75,0.7109807754969045,0.5326223091733115
8,SSp-tr,0.0010127128676664647,True,6.0,23.333333333333332,0.0852413731256414,0.576982395043717,0.04807803846141917,0.3333333333333333,0.6865994737018803,0.5188788137612582
9,SSp-un,,,,,,,,,,
10,SSs,0.0001270125972066529,True,6.0,37.166666666666664,0.09280604041141949,0.583696571735705,0.06990028528678216,0.5,0.6795362799263351,0.5206754014628605
11,GU,,,,,,,,,,
12,VISC,0.004637075368944235,True,2.0,23.0,0.027177131202433757,0.5849201675425924,0.07180250380500275,0.5,0.612097298745026,0.5131176637375896
13,AUDd,,,,,,,,,,
14,AUDp,0.0001348315792681453,True,4.0,24.25,0.028066160570148338,0.5981381108381906,0.07924583622915038,0.75,0.6047131896236755,0.5188922746090402
15,AUDpo,,,,,,,,,,
16,AUDv,0.0008849777943153978,True,4.0,23.75,0.04145414668269896,0.5736223725688521,0.05262774011154758,0.5,0.6075809990393144,0.515106436189789
17,VISal,,,,,,,,,,
18,VISam,0.00030489387876768626,True,8.0,23.0,0.05634578168034749,0.5938326632641768,0.04917440075291485,0.25,0.6815715326071785,0.5315705538151101
19,VISl,0.008023019559510878,True,5.0,18.8,0.029297847237338127,0.5451304415092151,0.02646716806284921,0.4,0.5845406395831899,0.5122496021074583
20,VISp,5.1177978147903834e-08,True,14.0,25.285714285714285,0.05969866340304426,0.587973363424358,0.053726830005039417,0.5,0.6452032955820834,0.5170642743599709
21,VISpl,,,,,,,,,,
22,VISpm,0.0007780112825792913,True,3.0,30.666666666666668,0.11714996092517688,0.6822877402500467,0.17792074836101412,0.6666666666666666,0.7395252402169197,0.5043669918890326
23,VISli,0.016434039087688913,True,2.0,21.5,0.0531562881247159,0.5757438947427409,0.05825642180949697,0.5,0.6289001828674567,0.5174874729332439
24,VISpor,0.021114856477686204,True,2.0,41.0,0.0033928654841202666,0.5578084498997047,0.05296503424307561,0.5,0.5612013153838249,0.504843415656629
25,ACAd,3.1258336226763774e-09,True,9.0,20.11111111111111,0.08879324152980494,0.634543696149112,0.12226590865712628,0.7777777777777778,0.6434051314539119,0.5229644373673035
26,ACAv,0.04856579472182022,True,6.0,17.333333333333332,0.029895253080796887,0.554170424582189,0.026739535136307113,0.16666666666666666,0.571065885334178,0.513516246376541
27,PL,1.715752161011141e-08,True,8.0,32.375,0.1281598102131712,0.6991884754833371,0.1782124267741768,0.75,0.7492041868490571,0.5222080972898395
28,ILA,0.0005036645617707829,True,7.0,32.0,0.06414219132165488,0.549121772591857,0.031071451016135954,0.42857142857142855,0.5948721982862952,0.5141254961978096
29,ORBl,7.237781071261493e-05,True,6.0,23.0,0.08582330082564475,0.5883373785871837,0.0704080769439781,0.5,0.6264154323936933,0.5212905879180152
30,ORBm,0.003800368301223261,True,4.0,44.5,0.12346001036497341,0.5596143098947443,0.05480430608389708,0.5,0.6982014559497609,0.509657795250291
31,ORBv,,,,,,,,,,
32,ORBvl,1.0050702678792862e-06,True,5.0,75.2,0.11876349652182576,0.6560427856306011,0.146392337901612,0.8,0.716465837259745,0.5252580912863071
33,AId,0.0005366490677720542,True,6.0,24.5,0.04080414841736084,0.5716233628635679,0.05077245433868771,0.3333333333333333,0.6159388738578977,0.5185262445837546
34,AIp,0.0003864896068767525,True,3.0,19.666666666666668,0.07186022739765854,0.6322007289038407,0.12132281318820304,0.6666666666666666,0.6764020885898514,0.5108779157156377
35,AIv,0.00023205140415207554,True,4.0,25.5,0.06232962808876202,0.5796252447795807,0.0745949386240552,0.75,0.6058271446114262,0.5050303061555255
36,RSPagl,0.0031325493088680064,True,6.0,22.666666666666668,0.046188893579738634,0.5714103582254157,0.04587285905374333,0.5,0.6159702139965298,0.519460812389541
37,RSPd,0.41263018549685343,False,7.0,17.142857142857142,0.03241358753312294,0.5461751918158568,0.008822001700409254,0.0,,0.5235943407034023
38,RSPv,9.755307213772516e-09,True,9.0,19.444444444444443,0.08849046816734986,0.5847372781065089,0.0648096279147996,0.7777777777777778,0.5848277489381783,0.5055743606526719
39,VISa,2.8047183483883125e-12,True,25.0,23.88,0.04293080908293859,0.574060489060489,0.06211522972322292,0.52,0.6074178403755868,0.5193117831074036
40,VISrl,0.00028728521116105855,True,2.0,21.0,0.024349377360739277,0.6208181797057979,0.10007272130377953,1.0,0.6208181797057979,0.5207454584020184
41,TEa,0.00207512411314715,True,4.0,27.5,0.04424847776038196,0.5707496221090995,0.054910299994153644,0.75,0.5900946593001841,0.519442437363105
42,PERI,,,,,,,,,,
43,ECT,0.16555232722627708,False,4.0,13.5,0.024095830675506313,0.5130195742108259,0.015400256358402309,0.0,,0.49769072313674956
44,MOB,,,,,,,,,,
45,AOB,,,,,,,,,,
46,AON,0.0019092445482985535,True,8.0,31.25,0.10534402076793109,0.5306368840690194,0.02646102289315827,0.375,0.5804459626006117,0.5150141243411304
47,TTd,0.046134966110098215,True,6.0,26.666666666666668,0.02702037858855211,0.539955692857953,0.033051926092070916,0.0,,0.5067386728624574
48,TTv,,,,,,,,,,
49,DP,0.03259861740446272,True,7.0,24.857142857142858,0.05438821171765671,0.5329280499293453,0.014483283963257376,0.2857142857142857,0.6146731739978826,0.5164434523809524
50,PIR,0.000571741501098986,True,10.0,32.3,0.05442215602154147,0.5268275705787799,0.022913698057586362,0.5,0.5581985838089198,0.5029988176768546
51,NLOT,,,,,,,,,,
52,COAa,,,,,,,,,,
53,COAp,0.8465993239271726,False,2.0,23.5,0.0011251393110435493,0.4953775202634245,-0.026587776800556656,0.0,,0.5219652970639812
54,PAA,0.022109914890478276,True,2.0,22.0,0.06787166285718285,0.5675030251998582,0.06081443630584174,0.5,0.635374688057041,0.5066885888940165
55,TR,,,,,,,,,,
56,CA1,4.9072227551084725e-08,True,28.0,24.107142857142858,0.04722516867299728,0.5454512819712063,0.036079012914567166,0.32142857142857145,0.5796538615446178,0.5134133160506609
57,CA2,,,,,,,,,,
58,CA3,0.0004935476645722956,True,15.0,22.866666666666667,0.052012702514869176,0.5551463521188291,0.03472737335018983,0.2,0.5725202429149798,0.5182588085083263
59,DG,0.01096947169009951,True,14.0,19.357142857142858,0.0318142039690043,0.5328151530675536,0.02084783111241345,0.21428571428571427,0.5705474705474706,0.5131319235194218
60,FC,,,,,,,,,,
61,IG,,,,,,,,,,
62,ENTl,0.3571403947405906,False,7.0,35.285714285714285,0.025260601151470975,0.5088989739542227,0.007467765248431735,0.0,,0.501657357940748
63,ENTm,0.06942450112862654,False,5.0,36.4,0.03428224445789047,0.534133042529989,0.031122289841817086,0.2,0.5819154107924163,0.503010752688172
64,PAR,6.57612481462314e-05,True,5.0,13.8,0.037199048248251376,0.5481246803069054,0.048874814935201905,0.6,0.6111177728804771,0.5054678195144298
65,POST,0.00026002675654292846,True,3.0,12.333333333333334,0.035380141815368776,0.5843657107885993,0.0811702220667948,0.6666666666666666,0.6105150165196194,0.5031954887218045
66,PRE,0.03083366746402022,True,2.0,20.5,0.08098715489540309,0.5527820266902748,0.04657825542994937,0.5,0.6337691815856779,0.5062037712603253
67,SUB,0.0004406589036923764,True,6.0,44.666666666666664,0.05434523621110587,0.5878745868523179,0.05900541227608774,0.5,0.6088212634822805,0.5191465352635873
68,ProS,0.09601932916978295,False,7.0,25.0,0.030721541057281122,0.5325484925254791,0.005727966014784314,0.14285714285714285,0.5903962264150943,0.5246320249776986
69,HATA,,,,,,,,,,
70,APr,,,,,,,,,,
71,CLA,,,,,,,,,,
72,EPd,0.5645517123099997,False,3.0,17.0,0.010467872163929874,0.4971832056604876,0.0006422466195285526,0.0,,0.4965409590409591
73,EPv,0.09590568114358318,False,2.0,22.0,0.017114068879775512,0.5241682614659352,0.018845109348299666,0.5,0.5412823303457107,0.5053231521176356
74,LA,,,,,,,,,,
75,BLA,0.12310101306989212,False,4.0,18.75,0.03545933941373735,0.5421202525832745,0.008889405957744623,0.25,0.5966662647697131,0.507939694851627
76,BMA,0.666708092712182,False,6.0,20.166666666666668,0.027171400426898085,0.5170378992108249,0.010510674299617107,0.0,,0.5031750660202203
77,PA,0.10422469344276795,False,3.0,19.0,0.028142133651110412,0.5075047619047618,-0.005191940980213805,0.3333333333333333,0.5571829212454212,0.5126967028849756
78,CP,3.712985008311648e-38,True,41.0,40.292682926829265,0.10282289722277978,0.6648294250858354,0.13487264373577745,0.8780487804878049,0.6784386578972772,0.518920278576931
79,ACB,1.3157654625613294e-05,True,10.0,19.2,0.06675263408818768,0.5610835002067958,0.04970745923439934,0.5,0.6201666666666668,0.5109123466907259
80,FS,,,,,,,,,,
81,OT,0.0025160724469290557,True,3.0,12.0,0.026899808882787708,0.5658309376382131,0.06559943093813692,0.6666666666666666,0.5757715059708094,0.5002315067000762
82,LSc,,,,,,,,,,
83,LSr,0.0003580956524958333,True,21.0,35.285714285714285,0.0579282639298361,0.539050258684405,0.02540954365305126,0.19047619047619047,0.6192892130281376,0.5078082994416488
84,LSv,0.01077322456197731,True,3.0,18.666666666666668,0.012746566657076798,0.5628283867176022,0.06505574938054437,0.6666666666666666,0.5646976264925336,0.4977726373370578
85,SF,,,,,,,,,,
86,SH,,,,,,,,,,
87,AAA,,,,,,,,,,
88,BA,,,,,,,,,,
89,CEA,0.2308455402170932,False,4.0,26.0,0.022349198965140572,0.5237062643014014,0.01727920982253256,0.0,,0.5054775335960767
90,IA,,,,,,,,,,
91,MEA,0.46284264187502255,False,4.0,23.75,0.00922625656070007,0.5062680733571832,0.006159402370054773,0.0,,0.5001086709871284
92,GPe,7.341468005672679e-08,True,5.0,17.6,0.046649080102288465,0.6870833333333334,0.16979313380281702,1.0,0.6870833333333334,0.5192559712534349
93,GPi,,,,,,,,,,
94,SI,5.862722520566405e-05,True,5.0,12.8,0.042895742779804506,0.5970750579074467,0.07439368432142757,0.8,0.6084335926423567,0.5204509715826127
95,MA,,,,,,,,,,
96,MS,0.006161454365398117,True,3.0,13.666666666666666,0.03274691886881701,0.5630485527544351,0.05255089017085024,0.3333333333333333,0.6078051537070525,0.5042124542124543
97,NDB,,,,,,,,,,
98,TRS,,,,,,,,,,
99,BST,0.0006777011306323478,True,5.0,13.8,0.04315048593558414,0.5755694383016364,0.05860944359590914,0.6,0.5779605173587475,0.5024553571428572
100,VAL,9.367275479201508e-05,True,5.0,23.0,0.11458016923522724,0.597143357715387,0.08846570018008071,0.6,0.6949078726968174,0.5162535807697097
101,VM,0.00028728521116105855,True,2.0,11.0,0.0478806351870214,0.7137735001513243,0.20043030913894555,1.0,0.7137735001513243,0.5133431910123789
102,VPL,1.2567412156073657e-09,True,7.0,21.285714285714285,0.07005627214707746,0.6486756863166183,0.133754073774625,1.0,0.6486756863166183,0.5149216125419933
103,VPLpc,,,,,,,,,,
104,VPM,3.4571214548887406e-12,True,18.0,28.22222222222222,0.08216993939666388,0.6014797210668337,0.09015915737625435,0.6111111111111112,0.6504229480737018,0.5175659250297158
105,VPMpc,,,,,,,,,,
106,PoT,0.00016028552006268067,True,5.0,18.6,0.04205312751901319,0.5904795117698343,0.08963698080682136,0.6,0.6196708992761624,0.5062038900067068
107,SPF,,,,,,,,,,
108,SPA,,,,,,,,,,
109,PP,,,,,,,,,,
110,MG,4.227176534766785e-05,True,7.0,18.714285714285715,0.04753938278025522,0.5910493559125778,0.08004505945715357,0.5714285714285714,0.5975636318064079,0.5110042964554242
111,LGd,1.9309722303463857e-10,True,12.0,20.5,0.0676138291321594,0.5891675007060516,0.09000398646239893,0.75,0.597887323943662,0.5072861731660038
112,LP,5.775731387011807e-20,True,32.0,25.84375,0.08637343839138668,0.5726919965463522,0.06501850757131883,0.625,0.6444350406798431,0.506700107766887
113,PO,3.936280618947964e-12,True,29.0,36.86206896551724,0.06794844454005605,0.5557179487179488,0.049314110265301414,0.4482758620689655,0.6142610409426126,0.5113189883627145
114,POL,0.0001309204300230366,True,5.0,14.2,0.06991900186055554,0.5662335440416374,0.06323287218167473,0.6,0.613960660514813,0.5030006718599627
115,SGN,0.0007174403633326887,True,5.0,12.8,0.06304526890528396,0.5629830695620169,0.056777308498435985,0.6,0.647294054265844,0.506205761063581
116,Eth,9.619772993730128e-09,True,9.0,19.11111111111111,0.05343262517306007,0.5770029843893482,0.07520514528155609,0.7777777777777778,0.5915413533834586,0.509180567633805
117,AV,0.00010806757294642433,True,4.0,20.75,0.07709626582885762,0.6371194039591285,0.12764228465878297,0.75,0.6918215131108867,0.5084062787338222
118,AM,0.11942088501024892,False,3.0,22.0,0.025314090626029215,0.5161300309597523,0.012487626289525044,0.3333333333333333,0.5573471801315691,0.5036424046702273
119,AD,,,,,,,,,,
120,IAM,,,,,,,,,,
121,IAD,,,,,,,,,,
122,LD,4.1972592784871395e-07,True,7.0,23.714285714285715,0.05290608523734143,0.5898496240601504,0.0884218604186463,0.7142857142857143,0.6196909236015381,0.5072194783145547
123,IMD,,,,,,,,,,
124,MD,1.0365090233744097e-07,True,11.0,28.09090909090909,0.04139558199250372,0.5897222222222223,0.0682324631980451,0.6363636363636364,0.591212395795578,0.5161606696651674
125,SMT,0.005734594405247402,True,2.0,25.0,0.046819524713655525,0.5948603900982707,0.08670722909325906,0.5,0.6416799148119263,0.5081531610050117
126,PR,,,,,,,,,,
127,PVT,0.00975173873945081,True,4.0,14.75,0.030325711740341144,0.5483807577367416,0.04207398607001289,0.25,0.5840558173251178,0.504317176780211
128,PT,,,,,,,,,,
129,RE,,,,,,,,,,
130,Xi,,,,,,,,,,
131,RH,,,,,,,,,,
132,CM,,,,,,,,,,
133,PCN,0.001011887374569754,True,2.0,12.0,0.04942228684097677,0.6094423840273706,0.10054056688092061,1.0,0.6094423840273706,0.5089018171464501
134,CL,,,,,,,,,,
135,PF,,,,,,,,,,
136,PIL,,,,,,,,,,
137,RT,0.00012050642940174841,True,3.0,12.333333333333334,0.05862586927125144,0.6312589221268748,0.1153046726357202,1.0,0.6312589221268748,0.5037839020122485
138,IGL,,,,,,,,,,
139,IntG,,,,,,,,,,
140,LGv,0.0005402570548034991,True,2.0,19.0,0.009936766472134262,0.6238712830634694,0.10675392782261961,1.0,0.6238712830634694,0.5171173552408498
141,SubG,,,,,,,,,,
142,MH,,,,,,,,,,
143,LH,,,,,,,,,,
144,SO,,,,,,,,,,
145,PVH,,,,,,,,,,
146,PVa,,,,,,,,,,
147,PVi,,,,,,,,,,
148,ARH,,,,,,,,,,
149,ADP,,,,,,,,,,
150,AVP,,,,,,,,,,
151,AVPV,,,,,,,,,,
152,DMH,,,,,,,,,,
153,MEPO,,,,,,,,,,
154,MPO,0.11123181405782194,False,2.0,11.5,0.0047135630442537435,0.5491613202423943,0.03722143909201425,0.0,,0.51193988115038
155,PS,,,,,,,,,,
156,PVp,,,,,,,,,,
157,PVpo,,,,,,,,,,
158,SBPV,,,,,,,,,,
159,SCH,,,,,,,,,,
160,SFO,,,,,,,,,,
161,VMPO,,,,,,,,,,
162,VLPO,,,,,,,,,,
163,AHN,,,,,,,,,,
164,LM,,,,,,,,,,
165,MM,,,,,,,,,,
166,SUM,,,,,,,,,,
167,TM,,,,,,,,,,
168,MPN,,,,,,,,,,
169,PMd,,,,,,,,,,
170,PMv,,,,,,,,,,
171,PVHd,,,,,,,,,,
172,VMH,,,,,,,,,,
173,PH,,,,,,,,,,
174,LHA,0.11483735987626154,False,2.0,17.5,0.033902775484210834,0.5226049190570203,0.0193725919426746,0.5,0.5565076945412312,0.5032323271143457
175,LPO,,,,,,,,,,
176,PSTN,,,,,,,,,,
177,PeF,,,,,,,,,,
178,RCH,,,,,,,,,,
179,STN,,,,,,,,,,
180,TU,,,,,,,,,,
181,ZI,7.341468005672679e-08,True,5.0,11.0,0.027956392425449686,0.6453326890726225,0.1376515676319412,1.0,0.6453326890726225,0.5030721201701204
182,SCs,,,,,,,,,,
183,IC,0.053918675183486954,False,4.0,13.0,0.04527096310625709,0.5269706703062671,0.00786810535413035,0.25,0.6229128724892443,0.5148882985826054
184,NB,,,,,,,,,,
185,SAG,,,,,,,,,,
186,PBG,,,,,,,,,,
187,SNr,,,,,,,,,,
188,VTA,,,,,,,,,,
189,PN,,,,,,,,,,
190,RR,,,,,,,,,,
191,MRN,7.3821660380664525e-34,True,30.0,16.466666666666665,0.10652797358384157,0.7037299308126066,0.17066205012574354,0.9333333333333333,0.7081160482313542,0.522152399519999
192,SCm,5.528637222257546e-25,True,24.0,19.958333333333332,0.11739975892613422,0.7034886577661733,0.1794929626561627,0.875,0.711501369657398,0.5223019185018625
193,PAG,1.04282386232756e-09,True,10.0,15.1,0.06218633962581723,0.6083735119957159,0.09989008240498354,0.9,0.6088694623154105,0.5123078572229647
194,APN,6.644644769251171e-24,True,22.0,20.045454545454547,0.10454522331634206,0.7210670130783214,0.19801203810366103,0.9090909090909091,0.724733863572325,0.5184853002803669
195,MPT,,,,,,,,,,
196,NOT,,,,,,,,,,
197,NPC,,,,,,,,,,
198,OP,,,,,,,,,,
199,PPT,,,,,,,,,,
200,RPF,,,,,,,,,,
201,CUN,,,,,,,,,,
202,RN,2.0606236003132942e-05,True,5.0,14.6,0.0934265630653467,0.6562091503267975,0.1489759915765716,0.6,0.7177800939712793,0.5327601468756148
203,III,,,,,,,,,,
204,MA3,,,,,,,,,,
205,EW,,,,,,,,,,
206,IV,,,,,,,,,,
207,Pa4,,,,,,,,,,
208,VTN,,,,,,,,,,
209,AT,,,,,,,,,,
210,LT,,,,,,,,,,
211,DT,,,,,,,,,,
