,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
0,FRP,0.004073692381428207,True,2.0,15.5,0.09799361542542495,0.6527555201873296,0.15857449955941164,0.5,0.7507491356127546,0.494181020627918
1,MOp,1.6081323110782378e-28,True,23.0,42.43478260869565,0.1157218737309251,0.8347222222222221,0.33697721228699107,1.0,0.8347222222222221,0.4984472049689441
2,MOs,7.025517574410533e-28,True,24.0,34.25,0.12233927693220781,0.679162385859106,0.18131481840757624,0.9583333333333334,0.6838042784163474,0.49710483711247133
3,SSp-n,0.005734594405247402,True,2.0,13.0,0.1734006633126779,0.7169102786972933,0.21787847835373225,0.5,0.8903109420099712,0.49903180034356104
4,SSp-bfd,1.0421674226989488e-10,True,10.0,21.2,0.09842318651068588,0.6252608940976212,0.1272808525425648,0.8,0.6748237698710792,0.4959105430670053
5,SSp-ll,0.00028728521116105855,True,2.0,22.5,0.02055927826589027,0.7283490580747809,0.23023184563940643,1.0,0.7283490580747809,0.49811721243537455
6,SSp-m,4.859570356459057e-09,True,6.0,24.333333333333332,0.08258011045044607,0.690189134257412,0.19063277771000287,1.0,0.690189134257412,0.49728065486134315
7,SSp-ul,1.1261864450424336e-06,True,4.0,23.5,0.11219784914999427,0.7248508848926944,0.22676992580437724,1.0,0.7248508848926944,0.4985452884634759
8,SSp-tr,4.265400042670774e-06,True,6.0,23.333333333333332,0.06428454255578947,0.6106331078284584,0.11245238800407947,0.6666666666666666,0.6249623883502027,0.4944614010646545
9,SSp-un,,,,,,,,,,
10,SSs,4.213235001812111e-08,True,6.0,37.166666666666664,0.14345836315230315,0.7418871438233983,0.24389170900481016,0.8333333333333334,0.7982533851915874,0.4990938082143602
11,GU,,,,,,,,,,
12,VISC,0.00028728521116105855,True,2.0,23.0,0.061212534737343616,0.7006798714207607,0.2036341051729616,1.0,0.7006798714207607,0.49704576624779906
13,AUDd,,,,,,,,,,
14,AUDp,1.1261864450424336e-06,True,4.0,24.25,0.08639502834638016,0.9324258194114732,0.43957140256728666,1.0,0.9324258194114732,0.49403687064523627
15,AUDpo,,,,,,,,,,
16,AUDv,1.1261864450424336e-06,True,4.0,23.75,0.0698444031028499,0.8826027385159654,0.389089034974066,1.0,0.8826027385159654,0.4950775089889864
17,VISal,,,,,,,,,,
18,VISam,2.331452915760371e-10,True,8.0,23.0,0.0590892362221608,0.6377232818514414,0.13915844936904515,0.875,0.6404317269076306,0.5004995947046986
19,VISl,0.000133847926764117,True,5.0,18.8,0.039682319016144496,0.5818641431164118,0.08304416147225296,0.6,0.5875765790187042,0.4969004766085538
20,VISp,4.939122869125006e-13,True,14.0,25.285714285714285,0.10600994782441381,0.6299676852667545,0.1362539938722078,0.7857142857142857,0.65853851010101,0.4953757923885811
21,VISpl,,,,,,,,,,
22,VISpm,0.00010883082905650452,True,3.0,30.666666666666668,0.07749646372664634,0.5836297309621522,0.09048982635165942,1.0,0.5836297309621522,0.4942078280587597
23,VISli,0.0005402570548034991,True,2.0,21.5,0.041309315804623714,0.6076450012884947,0.10919699136820196,1.0,0.6076450012884947,0.4984480099202928
24,VISpor,0.0014576149620390572,True,2.0,41.0,0.021859038978494616,0.579182627688172,0.08301484868031167,1.0,0.579182627688172,0.4961677790078603
25,ACAd,2.0141183871771388e-09,True,9.0,20.11111111111111,0.06657646872188248,0.6269301470588234,0.13446439363416585,0.8888888888888888,0.6368277121888406,0.4967152333227124
26,ACAv,0.0003116695574256732,True,6.0,17.333333333333332,0.054835182775509514,0.5603198082471672,0.061276601594392355,0.5,0.5756355559465165,0.4953294865865646
27,PL,1.0380426719947736e-08,True,8.0,32.375,0.16595860277001404,0.6700552026022931,0.17214839621534467,0.75,0.6974575575522524,0.49708203690205
28,ILA,3.2049925810326916e-06,True,7.0,32.0,0.14429383959122516,0.6581812302385742,0.16031224595056243,0.5714285714285714,0.732569411451744,0.4976582715197516
29,ORBl,6.155901593405668e-07,True,6.0,23.0,0.15333277686136784,0.6739142053286931,0.18139077207915966,0.8333333333333334,0.6961764705882352,0.4958632844823051
30,ORBm,0.00026906171752495413,True,4.0,44.5,0.15481747004630644,0.6322391914080427,0.1362047818379245,0.5,0.8176560918681482,0.4988168531610406
31,ORBv,,,,,,,,,,
32,ORBvl,7.341468005672679e-08,True,5.0,75.2,0.09946179383659147,0.8765398167723749,0.37443520964835164,1.0,0.8765398167723749,0.4983352144469526
33,AId,4.859570356459057e-09,True,6.0,24.5,0.11345192366463899,0.8259597787092943,0.32444366089853355,1.0,0.8259597787092943,0.496500502374863
34,AIp,3.250788329136156e-05,True,3.0,19.666666666666668,0.08444568127213853,0.701161283891547,0.2080872834035551,1.0,0.701161283891547,0.4977584059775841
35,AIv,0.0010972394538375325,True,4.0,25.5,0.05704669549056543,0.5559620767548272,0.05980147899570956,0.5,0.6162428216816765,0.49695471944472375
36,RSPagl,4.867317382676492e-06,True,5.0,23.4,0.09762363252755615,0.6766310160427808,0.17820664629488153,0.8,0.6835453248463564,0.4984243697478992
37,RSPd,2.6855852288377803e-06,True,7.0,17.142857142857142,0.03315376982632234,0.5773070607553366,0.07734798094553219,0.7142857142857143,0.5787207823183336,0.4993411996066862
38,RSPv,7.631291992386578e-08,True,7.0,19.285714285714285,0.06466520544418657,0.60854532839963,0.11637665370083494,0.8571428571428571,0.6293479387304562,0.4954146984011627
39,VISa,4.824296348134258e-22,True,25.0,23.88,0.06541216708049805,0.616051716644937,0.11875150422889252,0.8,0.6345102170392438,0.4970096882374861
40,VISrl,0.02776848310539888,True,2.0,21.0,0.09234297763844185,0.5648024229550299,0.07205659825900798,0.5,0.6571454005934718,0.492745824696022
41,TEa,7.341468005672679e-08,True,5.0,26.0,0.05631489016901349,0.7451431104356636,0.2529073126077605,1.0,0.7451431104356636,0.4940247252747252
42,PERI,,,,,,,,,,
43,ECT,0.0019157447353073842,True,4.0,13.5,0.047528581994735426,0.5495235794667355,0.055000436201332104,0.25,0.6517413880445796,0.4936900843565166
44,MOB,,,,,,,,,,
45,AOB,,,,,,,,,,
46,AON,2.1908443714031382e-07,True,8.0,31.25,0.1350943813076242,0.5953079804371306,0.09974772293375109,0.75,0.6103822892793482,0.49637050846549136
47,TTd,9.471828029424976e-07,True,7.0,24.857142857142858,0.10409496061282116,0.6488970588235293,0.1596740011794191,0.7142857142857143,0.7169677790563866,0.493471000325839
48,TTv,,,,,,,,,,
49,DP,9.633734177332413e-10,True,8.0,23.125,0.12820485245687063,0.6469639235439508,0.1497872155584038,0.875,0.6929510218463707,0.4965451050923614
50,PIR,1.9787996214334316e-07,True,10.0,32.3,0.09748054626722111,0.5795254497249188,0.08601866685910842,0.6,0.6047546964757025,0.49445541205368054
51,NLOT,,,,,,,,,,
52,COAa,,,,,,,,,,
53,COAp,0.005945265174396537,True,3.0,20.0,0.05065085540618188,0.5695033313143549,0.07175673267489902,0.6666666666666666,0.5880496454551574,0.4977465986394559
54,PAA,,,,,,,,,,
55,TR,,,,,,,,,,
56,CA1,7.909407585010004e-24,True,28.0,24.107142857142858,0.09306617392011894,0.6243933861435381,0.12707390449414244,0.8214285714285714,0.632258064516129,0.4963061362983844
57,CA2,,,,,,,,,,
58,CA3,8.829380094748671e-10,True,15.0,22.866666666666667,0.07018943048149384,0.5443680223285486,0.04733455376871093,0.5333333333333333,0.6431300139610272,0.4956218024399842
59,DG,2.3628510278560562e-14,True,15.0,18.8,0.098401834933911,0.686600790513834,0.19192155670416544,0.8,0.6974414200565515,0.4971181776486775
60,FC,,,,,,,,,,
61,IG,,,,,,,,,,
62,ENTl,1.374761112543273e-05,True,7.0,35.285714285714285,0.098823509393887,0.5848635235732009,0.09230713259575735,0.5714285714285714,0.6560598864221037,0.4966555355766761
63,ENTm,1.6558634048170466e-06,True,5.0,36.4,0.07065750371677444,0.6765180602957906,0.17851841591456735,1.0,0.6765180602957906,0.4947287686515129
64,PAR,2.172027819798244e-05,True,4.0,13.5,0.09790359659108132,0.7126285788301607,0.21706352626194625,0.75,0.7704711216242854,0.49631815128228696
65,POST,0.00031955258055109246,True,3.0,12.333333333333334,0.024570101821803015,0.5885083128078816,0.0967875335871024,1.0,0.5885083128078816,0.491340792171817
66,PRE,0.0016738421739422083,True,2.0,20.5,0.03233881538452932,0.6047398363008639,0.10483300269955428,1.0,0.6047398363008639,0.4999068336013096
67,SUB,1.738303697525472e-06,True,7.0,40.714285714285715,0.10918519117658379,0.5834773531288059,0.08926273787810951,0.5714285714285714,0.6816153484673222,0.4942146152506964
68,ProS,4.180715839104262e-07,True,7.0,25.0,0.08554506667932119,0.6072024939007861,0.10930819180819162,0.7142857142857143,0.6752840909090909,0.4972339832869081
69,HATA,,,,,,,,,,
70,APr,,,,,,,,,,
71,CLA,,,,,,,,,,
72,EPd,0.05375835818904668,False,2.0,16.5,0.03912909751724172,0.5260692131695008,0.029347834272547113,0.5,0.5651983106867425,0.49672137889695367
73,EPv,0.0053726725880674075,True,2.0,22.0,0.06397757532285758,0.6078691610833753,0.11325523268615942,0.5,0.6718467364062329,0.49461392839721596
74,LA,,,,,,,,,,
75,BLA,0.00015171670441131404,True,5.0,18.4,0.07825147120996773,0.5410077466079942,0.0448482795974634,0.6,0.5654782056707576,0.4961594670105308
