,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
0,FRP,0.8859633387869705,False,2.0,15.5,0.0047179218135699,-0.0157268566854602,-0.006150498478029699,0.0,,-0.0095763582074305
1,MOp,0.031552389914668896,True,23.0,42.43478260869565,0.013485743740705818,-0.0067023021847664,-5.296704443089918e-05,0.21739130434782608,0.0161832544819788,-0.0074748267952285
2,MOs,3.7929073474117006e-06,True,24.0,34.25,0.057581412842312815,-0.00626767568724435,0.0016538236529448497,0.375,0.0205545302482712,-0.00744344656369085
3,SSp-n,0.3134017198159454,False,2.0,13.0,0.0038194055400237,-0.0120443256462116,0.00084930906328655,0.0,,-0.01289363470949815
4,SSp-bfd,0.5435088201869798,False,10.0,21.2,0.005244757762708566,-0.00746874091881305,-3.3979988886100564e-05,0.1,0.0026601587953022,-0.006301294271540549
5,SSp-ll,0.8352900003178233,False,3.0,28.666666666666668,0.0020274441838668516,-0.0084697305403676,-0.0005947124924394003,0.0,,-0.0071206783386728
6,SSp-m,0.18568368736944357,False,6.0,24.333333333333332,0.01042067921653809,-0.00704088499620495,0.0022661655419712002,0.16666666666666666,0.018286293737799,-0.009517904442181
7,SSp-ul,0.06657587859117889,False,4.0,23.5,0.017644576376081526,-0.0059295984768268,0.00120724781911585,0.25,0.0291784506712696,-0.00661928083230485
8,SSp-tr,0.5498490198021821,False,6.0,23.333333333333332,0.0035940046640335855,-0.01030193752618545,0.0005728999510101994,0.0,,-0.0093798085920905
9,SSp-un,,,,,,,,,,
10,SSs,0.19161650622078297,False,6.0,37.166666666666664,0.0020956809885772786,-0.006767491119196251,0.001265511407931201,0.16666666666666666,-0.0042561177438776,-0.0076482659839371
11,GU,,,,,,,,,,
12,VISC,0.017181196174163287,True,2.0,23.0,0.00046310815459024994,-0.0025144909419123496,0.0038110537833330005,0.5,-0.0029775990965026,-0.0063255447252453505
13,AUDd,,,,,,,,,,
14,AUDp,0.3572859262776891,False,4.0,24.25,0.003237375309841802,-0.0074023663824770505,0.00034050435009705003,0.0,,-0.0077428707325741
15,AUDpo,,,,,,,,,,
16,AUDv,0.2891279254125307,False,4.0,23.75,0.002546711288836565,-0.0075764847998606505,0.0010521031370842497,0.0,,-0.00801705468557795
17,VISal,,,,,,,,,,
18,VISam,0.00013203963585090172,True,8.0,23.0,0.06351509314469168,0.0157422875087224,0.024536846345620852,0.5,0.10195346282698539,-0.009425728665611501
19,VISl,0.0036354904087667634,True,5.0,18.8,0.08556586526695296,-0.0028986471341978,0.0016880796029703007,0.4,0.1275656419949511,-0.0060599105061457
20,VISp,1.4817419360197652e-05,True,14.0,25.285714285714285,0.13277264298413596,-0.0062578355238948,0.0020912431501324,0.42857142857142855,0.23631365137531024,-0.0093584804722542
21,VISpl,,,,,,,,,,
22,VISpm,0.001287624921076151,True,3.0,30.666666666666668,0.25129252231884636,0.2576219948783257,0.26399957958625864,0.6666666666666666,0.4307395082722896,-0.0070414357961207
23,VISli,0.010181723015665596,True,2.0,21.5,0.11830235275996409,0.112076669085339,0.11759346495242144,0.5,0.2303790218453031,-0.00551679586708245
24,VISpor,0.6837064449714112,False,2.0,41.0,0.0007547271689098507,-0.008849284188073351,-0.0008263242220169506,0.0,,-0.0080229599660564
25,ACAd,0.005827619893285145,True,9.0,20.11111111111111,0.06359317374658456,-0.0070651923332953,0.0003809815705600999,0.3333333333333333,0.009924663997522,-0.007607139553372
26,ACAv,0.7026947886012482,False,6.0,17.333333333333332,0.004704692808130182,-0.00957022329753655,-0.0028544266753529504,0.16666666666666666,-0.0032807275713913,-0.0075493040619780995
27,PL,0.05914206704782048,False,8.0,32.375,0.021980088754014193,-0.0059553132232528,0.0011701244844772,0.25,0.0316812682250048,-0.00769278892389125
28,ILA,0.003548969098867927,True,7.0,32.0,0.010023362979204404,-0.0039873782022707,0.0023950325180348998,0.42857142857142855,-0.0011321043102679,-0.0066434495772463
29,ORBl,0.8498119428471952,False,6.0,23.0,0.0034989488436747377,-0.00881725138143425,-0.0004365495497195503,0.0,,-0.0077369004474074
30,ORBm,0.023156956460050306,True,4.0,44.5,0.01916260906661596,-0.0066526611660029,0.0023700359016236502,0.25,0.0359195266573677,-0.0092762205731165
31,ORBv,,,,,,,,,,
32,ORBvl,0.007661356432722762,True,5.0,75.2,0.04491070672431385,-0.0050386374350785,0.0002062585617890007,0.4,0.07461718059795845,-0.0052448959968675
33,AId,0.1356806860132869,False,6.0,24.5,0.006172117871816033,-0.00596064999704645,0.0005270652620932999,0.16666666666666666,0.0044656709569541,-0.0071877700778378
34,AIp,0.7438944729551584,False,3.0,19.666666666666668,0.006230803678548547,-0.0124729595852968,-0.004217887291719799,0.0,,-0.008255072293577
35,AIv,0.3342221129501395,False,4.0,25.5,0.0023195872049215464,-0.00471465660378345,-0.00036847086875349956,0.0,,-0.0054118052706681
36,RSPagl,0.6366458195511411,False,6.0,22.666666666666668,0.0038986596240727298,-0.0065956050935263005,0.00012990435696820036,0.0,,-0.005945490660063651
