,region,name,nclus,p_var,amp_var,lat_var,p_euc,amp_euc,lat_euc,amp_euc_can
0,PoT,Posterior triangular thalamic nucleus,72,0.7556221889055472,0.28369193279365135,-0.3916083916083916,0.5717141429285357,0.2118546846051249,-0.36013986013986016,0.2118546846051249
1,MG,Medial geniculate complex,130,0.6901549225387307,0.20566749961949182,-0.3076923076923077,0.8665667166416792,0.12210803750602378,-0.3622377622377623,0.12210803750602378
2,SGN,Suprageniculate nucleus,62,0.8000999500249875,0.2977176036852327,-0.4,0.5067466266866567,0.1677394586515125,-0.4,0.1677394586515125
3,LP,Lateral posterior nucleus of the thalamus,813,0.6316841579210395,0.08942591383034582,-0.4,0.6711644177911045,0.04596621970791698,-0.38741258741258744,0.04596621970791698
4,ACB,Nucleus accumbens,187,0.8630684657671165,0.1626697446308878,-0.4,0.6486756621689156,0.10592305314464684,-0.36643356643356645,0.10592305314464684
5,CP,Caudoputamen,1547,0.6676661669165417,0.05668213500422736,-0.39580419580419585,0.7756121939030485,0.03783364564654451,-0.3265734265734266,0.03783364564654451
6,AV,Anteroventral nucleus of thalamus,83,0.25687156421789104,0.2884563965426993,-0.39370629370629373,0.3213393303348326,0.16510155640576452,-0.39370629370629373,0.16510155640576452
7,SSp-ll,Primary somatosensory area lower limb,85,0.1489255372313843,0.2813725930453439,-0.38951048951048955,0.4802598700649675,0.12132220665541635,-0.38951048951048955,0.12132220665541635
8,SSp-m,Primary somatosensory area mouth,146,0.6951524237881059,0.20793104718311106,-0.38951048951048955,0.8830584707646177,0.13714806821544984,-0.38951048951048955,0.13714806821544984
9,MRN,Midbrain reticular nucleus,415,0.1409295352323838,0.16704816476251527,-0.3328671328671329,0.6051974012993503,0.10836341748121647,-0.36433566433566433,0.10836341748121647
10,EPd,Endopiriform nucleus dorsal part,51,0.2193903048475762,0.2979475208972774,-0.3979020979020979,0.25237381309345325,0.1714840801504836,-0.3916083916083916,0.1714840801504836
11,AIv,Agranular insular area ventral part,101,0.3918040979510245,0.19315210038508834,-0.32447552447552447,0.5397301349325337,0.10045773890760873,-0.4,0.10045773890760873
12,AId,Agranular insular area dorsal part,145,0.7591204397801099,0.1551741043562348,-0.4,0.5407296351824088,0.07834046847794526,-0.4,0.07834046847794526
13,MOp,Primary motor area,890,0.6671664167916042,0.07685839086072388,-0.38111888111888115,0.12643678160919541,0.05793141786638653,-0.26573426573426573,0.05793141786638653
14,VISa,Anterior area,546,0.936031984007996,0.08805154086945477,-0.38951048951048955,0.5922038980509745,0.052729591429707845,-0.3181818181818182,0.052729591429707845
15,PRNr,Pontine reticular nucleus,120,0.920039980009995,0.18377639573446403,-0.37482517482517486,0.6841579210394803,0.15592795697697276,-0.3706293706293706,0.15592795697697276
16,PAG,Periaqueductal gray,149,0.5262368815592204,0.19580767063091475,-0.3916083916083916,0.9320339830084957,0.12137399620792227,-0.3916083916083916,0.12137399620792227
17,SCm,Superior colliculus motor related,424,0.06446776611694154,0.14962167445415564,-0.37272727272727274,0.553223388305847,0.08564227090725507,-0.37272727272727274,0.08564227090725507
18,IC,Inferior colliculus,39,0.2898550724637681,0.3803320934434795,-0.37272727272727274,0.9310344827586207,0.20127872870832683,-0.37272727272727274,0.20127872870832683
19,MOs,Secondary motor area,803,0.9645177411294353,0.06384839604771897,-0.3832167832167832,0.8750624687656172,0.03675824388555693,-0.3853146853146853,0.03675824388555693
20,MPO,Medial preoptic area,23,0.9550224887556222,0.38143731602846437,-0.3832167832167832,0.5367316341829086,0.32671433247797643,-0.3769230769230769,0.32671433247797643
21,MS,Medial septal nucleus,41,0.5412293853073463,0.41602688152727196,-0.3916083916083916,0.5792103948025987,0.4503365088303058,-0.2972027972027972,0.4503365088303058
