,region,name,nclus,p_var,amp_var,lat_var,p_euc,amp_euc,lat_euc,amp_euc_can
0,PoT,Posterior triangular thalamic nucleus,93,0.0004997501249375312,1.461164078783608,0.00417910447761194,0.0004997501249375312,1.578551888583625,0.01671641791044776,1.578551888583625
1,MG,Medial geniculate complex,131,0.0004997501249375312,2.827912648614384,0.00835820895522388,0.0004997501249375312,2.299025280071536,0.00835820895522388,2.299025280071536
2,SGN,Suprageniculate nucleus,64,0.0004997501249375312,4.410629035210955,0.01462686567164179,0.0004997501249375312,3.1330664842390687,0.01462686567164179,3.1330664842390687
3,LP,Lateral posterior nucleus of the thalamus,819,0.0004997501249375312,0.5170206887101767,0.01253731343283582,0.0004997501249375312,0.6830806203366174,0.01253731343283582,0.6830806203366174
4,ACB,Nucleus accumbens,190,0.0004997501249375312,0.7952747017202038,0.09194029850746267,0.0004997501249375312,0.5389770308679545,0.06686567164179104,0.45944332705647906
5,CP,Caudoputamen,1595,0.0004997501249375312,0.7877631238541625,0.05014925373134328,0.0004997501249375312,0.7003996243663813,0.0417910447761194,0.7003996243663813
6,AV,Anteroventral nucleus of thalamus,56,0.0004997501249375312,2.2108855464728117,0.03134328358208955,0.0004997501249375312,1.7104395343347951,0.03134328358208955,1.7104395343347951
7,SSp-ll,Primary somatosensory area lower limb,45,0.0004997501249375312,1.1508886373123364,0.02716417910447761,0.0004997501249375312,0.7302330980848684,0.0208955223880597,0.7302330980848684
8,SSp-m,Primary somatosensory area mouth,145,0.0004997501249375312,0.9193333932179549,0.2507462686567164,0.0004997501249375312,0.9320855831430244,0.11701492537313432,0.6641370053469919
9,MRN,Midbrain reticular nucleus,481,0.0004997501249375312,1.5165114342183446,0.01253731343283582,0.0004997501249375312,1.537086519199224,0.01253731343283582,1.537086519199224
10,AIv,Agranular insular area ventral part,102,0.0004997501249375312,0.2995493039310292,0.03970149253731343,0.0004997501249375312,0.316769902465099,0.07522388059701492,0.316769902465099
11,AId,Agranular insular area dorsal part,145,0.0004997501249375312,0.7647385068193059,0.11492537313432835,0.0004997501249375312,0.5992946235208472,0.11701492537313432,0.5992946235208472
12,MOp,Primary motor area,970,0.0004997501249375312,0.8489469380556904,0.048059701492537306,0.0004997501249375312,0.6866214979046801,0.04388059701492537,0.6866214979046801
13,VISa,Anterior area,588,0.0004997501249375312,0.4972683217859989,0.01880597014925373,0.0004997501249375312,0.9650134243237765,0.01462686567164179,0.9650134243237765
14,PRNr,Pontine reticular nucleus,131,0.0004997501249375312,4.064860045622302,0.0,0.0004997501249375312,5.952936515780822,0.0,5.952936515780822
15,PAG,Periaqueductal gray,149,0.0004997501249375312,2.5791516558460637,0.01253731343283582,0.0004997501249375312,1.9733192075146664,0.0,1.9733192075146664
16,SCm,Superior colliculus motor related,451,0.0004997501249375312,1.1036216331429967,0.07731343283582089,0.0004997501249375312,0.9218074979624826,0.00626865671641791,0.9218074979624826
17,IC,Inferior colliculus,51,0.0004997501249375312,2.4186051128787307,0.00835820895522388,0.0004997501249375312,3.461598002581614,0.5098507462686567,2.2485064914224346
18,MOs,Secondary motor area,815,0.0004997501249375312,0.4697391367731676,0.0208955223880597,0.0004997501249375312,0.33566923704940876,0.01880597014925373,0.33566923704940876
19,MPO,Medial preoptic area,23,0.0004997501249375312,0.8366688476782103,0.14835820895522386,0.0004997501249375312,0.45355686813616714,0.11701492537313432,0.4393181827934851
