,region,name,nclus,p_var,amp_var,lat_var,p_euc,amp_euc,lat_euc,amp_euc_can
0,PoT,Posterior triangular thalamic nucleus,90,0.06846576711644178,0.3652863838626158,0.07394366197183098,0.9405297351324338,0.29248903561968587,0.11197183098591548,0.1820379784761795
1,MG,Medial geniculate complex,131,0.0009995002498750624,0.25972702296072403,0.04225352112676056,0.04047976011994003,0.22221148715041927,0.05070422535211267,0.1726364546050137
2,SGN,Suprageniculate nucleus,62,0.008995502248875561,0.348808193759526,0.052816901408450696,0.0004997501249375312,0.4156041349830455,0.05070422535211267,0.4156041349830455
3,LP,Lateral posterior nucleus of the thalamus,818,0.0004997501249375312,0.23117065021500438,0.048591549295774646,0.0004997501249375312,0.193401683975274,0.04225352112676056,0.193401683975274
4,ACB,Nucleus accumbens,188,0.0004997501249375312,0.25136448427245905,0.10563380281690139,0.0004997501249375312,0.25100664189792143,0.10985915492957746,0.1196623240730014
5,CP,Caudoputamen,1624,0.0004997501249375312,0.42505814175469236,0.12464788732394365,0.0004997501249375312,0.43867748417584734,0.12253521126760562,0.185879080515571
6,AV,Anteroventral nucleus of thalamus,83,0.0014992503748125937,0.2831913678758653,0.08873239436619718,0.0009995002498750624,0.20436230175741682,0.09295774647887323,0.17543138965313826
7,SSp-ll,Primary somatosensory area lower limb,85,0.0004997501249375312,0.35981598107161217,0.1288732394366197,0.0004997501249375312,0.30489478453409186,0.12253521126760562,0.07080567606995883
8,SSp-m,Primary somatosensory area mouth,146,0.01649175412293853,0.24143438214842716,0.05915492957746478,0.0004997501249375312,0.35894028977005504,0.1352112676056338,0.12283560897902451
9,MRN,Midbrain reticular nucleus,471,0.0004997501249375312,0.7045420825380541,0.10985915492957746,0.0004997501249375312,0.780191265314666,0.09929577464788732,0.5602114546636308
10,EPd,Endopiriform nucleus dorsal part,51,0.750624687656172,0.19054293100624958,0.002112676056338028,0.32533733133433285,0.11710297021520574,0.02112676056338028,0.11710297021520574
11,AIv,Agranular insular area ventral part,100,0.49075462268865566,0.1549838353812809,0.07816901408450704,0.014992503748125937,0.14594980241749944,0.1204225352112676,0.08872652136277337
12,AId,Agranular insular area dorsal part,146,0.7541229385307346,0.12364845434311672,0.008450704225352112,0.1774112943528236,0.10342763772537567,0.06549295774647887,0.10342763772537567
13,MOp,Primary motor area,971,0.0004997501249375312,0.3048398737272401,0.13943661971830984,0.0004997501249375312,0.31202278485772184,0.13732394366197181,0.0867025112178286
14,VISa,Anterior area,571,0.0004997501249375312,0.15209458315691182,0.09718309859154929,0.19440279860069964,0.1232580092423412,0.06338028169014084,0.08868781034844792
15,PRNr,Pontine reticular nucleus,120,0.0004997501249375312,0.8436995856541339,0.09929577464788732,0.0004997501249375312,0.751171410817091,0.10563380281690139,0.45469107662028097
16,PAG,Periaqueductal gray,149,0.0004997501249375312,0.3238144191909146,0.11408450704225351,0.0004997501249375312,0.30346638781697965,0.0676056338028169,0.23637649324615942
17,SCm,Superior colliculus motor related,461,0.0004997501249375312,0.7807859586916767,0.10563380281690139,0.0004997501249375312,0.7978590604172731,0.10140845070422534,0.547154864453214
18,IC,Inferior colliculus,40,0.35782108945527236,0.3063813692955289,0.07816901408450704,0.9240379810094953,0.1682371634099104,0.023239436619718307,0.16536030152569947
19,MOs,Secondary motor area,812,0.0004997501249375312,0.43188708355721395,0.1204225352112676,0.0004997501249375312,0.43183998293860626,0.11830985915492956,0.20685323253923008
20,MPO,Medial preoptic area,23,0.19940029985007496,0.41558002536717426,0.016901408450704224,0.047476261869065464,0.3012266187071114,0.016901408450704224,0.3012266187071114
21,MS,Medial septal nucleus,41,0.07896051974012994,0.38334554074981686,0.038028169014084505,0.0014992503748125937,0.4894520307681014,0.03380281690140845,0.4894520307681014
22,LSr,Lateral septal nucleus rostral (rostroventral) part,679,0.19990004997501248,0.08281440905187021,0.038028169014084505,0.0004997501249375312,0.1788860407630559,0.09507042253521125,0.14306199200197353
23,DG,Dentate gyrus,279,0.0004997501249375312,0.20231371697000666,0.13732394366197181,0.0009995002498750624,0.14630663022577428,0.14577464788732392,0.06711608187960899
24,CA1,Field CA1,670,0.0004997501249375312,0.13060822279663808,0.07605633802816901,0.0004997501249375312,0.2068503270510761,0.1352112676056338,0.08516943844778885
25,ProS,Prosubiculum,151,0.16991504247876063,0.16265967790148994,0.12253521126760562,0.0014992503748125937,0.15862264140176172,0.11619718309859153,0.09797282065163465
26,VISl,Lateral visual area,73,0.0004997501249375312,0.7603048340130124,0.04436619718309859,0.0004997501249375312,0.7832352054575312,0.04225352112676056,0.7832352054575312
27,VM,Ventral medial nucleus of the thalamus,22,0.0004997501249375312,0.729386958851902,0.10985915492957746,0.3708145927036482,0.5178250310863928,0.03169014084507042,0.3872388536423822
28,VAL,Ventral anterior-lateral complex of the thalamus,114,0.0004997501249375312,0.4299376881339515,0.11619718309859153,0.0004997501249375312,0.4997854412667846,0.11619718309859153,0.14816050698584726
29,LD,Lateral dorsal nucleus of thalamus,166,0.0004997501249375312,0.272876791000353,0.10985915492957746,0.001999000499750125,0.17034073610663664,0.10563380281690139,0.11918165525895685
30,RSPd,Retrosplenial area dorsal part,117,0.025987006496751622,0.21981027970723532,0.10985915492957746,0.08545727136431784,0.16618238678964467,0.05492957746478873,0.16618238678964467
31,DP,Dorsal peduncular area,157,0.6696651674162919,0.15329091387384697,0.01056338028169014,0.8055972013993004,0.0778053559782276,0.023239436619718307,0.06041396266097876
32,PVT,Paraventricular nucleus of the thalamus,59,0.384807596201899,0.2332803677259756,0.004225352112676056,0.04297851074462768,0.1316583741091844,0.06126760563380281,0.1316583741091844
33,ACAv,Anterior cingulate area ventral part,104,0.07196401799100449,0.22218874940392974,0.05915492957746478,0.07096451774112944,0.10909385723604206,0.1436619718309859,0.06802781640881456
34,BST,Bed nuclei of the stria terminalis,46,0.0004997501249375312,1.23682846243116,0.1267605633802817,0.0004997501249375312,1.0114522776204276,0.1352112676056338,0.1360404257782968
35,VPM,Ventral posteromedial nucleus of the thalamus,508,0.0004997501249375312,0.24813536792734603,0.13309859154929576,0.0004997501249375312,0.2062685139862227,0.13309859154929576,0.07733525351815562
36,PO,Posterior complex of the thalamus,1066,0.0004997501249375312,0.18001589736933254,0.13732394366197181,0.0004997501249375312,0.14401546002256416,0.13732394366197181,0.08342742390472746
37,LGd,Dorsal part of the lateral geniculate complex,244,0.0004997501249375312,0.4243445376096102,0.03591549295774647,0.0004997501249375312,0.4996797673356355,0.03169014084507042,0.4996797673356355
38,ECT,Ectorhinal area,54,0.896551724137931,0.21796659406690488,0.014788732394366195,0.632183908045977,0.10310822900691893,0.03591549295774647,0.10310822900691893
39,TEa,Temporal association areas,130,0.7726136931534233,0.1270596937989918,0.027464788732394364,0.12043978010994502,0.05851620826783907,0.027464788732394364,0.05625971571228425
40,AUDv,Ventral auditory area,95,0.0004997501249375312,0.31150895686844354,0.002112676056338028,0.0034982508745627187,0.33616232176772576,0.0908450704225352,0.2674403646429683
