Atlas id,Acryonm,[stim] fraction of significance,[stim] lower CL,,[choice] fraction of significance,[choice] lower CL,,[block] fraction of significance,[block] lower CL,,[feeback]fracion of significance,[feeback] lower CL
184,FRP,0,0,,0,0,,0.064516129,0.01525884,,0.387096774,0.229243442
985,MOp,0.063545151,0.047590645,,0.134894091,0.09447117,,0.05574136,0.03226645,,0.742193316,0.703887694
993,MOs,0.054878049,0.037837174,,0.153548387,0.10734464,,0.06097561,0.043391802,,0.673075112,0.588644534
353,SSp-n,0,0,,0.076923077,0.017974097,,0.192307692,0.078714802,,0.807692301,0.601143173
329,SSp-bfd,0.054455446,0.030301453,,0.113861386,0.073465276,,0.059405941,0.033926687,,0.667337835,0.543013737
337,SSp-ll,0,0,,0.111111111,0.001350708,,0.069767442,0.029006005,,0.860465128,0.768596829
345,SSp-m,0.054794521,0.005310639,,0.130136986,0.084253044,,0.061643836,0.000805222,,0.725983594,0.639576392
369,SSp-ul,0.074468085,0.035565308,,0.127659574,0.015500637,,0.106382979,0.010679464,,0.885714286,0.785540115
361,SSp-tr,0.076271186,0.039887561,,0.161016949,0.104638764,,0.042372881,0.012384484,,0.82795698,0.736050593
182305689,SSp-un,,,,,,,,,,,
378,SSs,0.014423077,0.002145074,,0.072115385,0.043810285,,0.072115385,0.043810285,,0.734584138,0.589274595
1057,GU,,,,,,,,,,,
677,VISC,0,0,,0.065217391,0.020526241,,0.065217391,0.02052624,,0.673913044,0.523097327
1011,AUDd,,,,,,,,,,,
1002,AUDp,0.072164948,0.034463493,,0.092783505,0.039274906,,0.103092784,0.05592869,,0.869078599,0.773838847
1027,AUDpo,,,,,,,,,,,
1018,AUDv,0.073684211,0.035190287,,0.073684211,7.56E-05,,0.073684211,0.035190291,,0.724667344,0.615881674
402,VISal,,,,,,,,,,,
394,VISam,0.10326087,0.063323087,,0.092391304,0.040008769,,0.027173913,0.006151683,,0.555479702,0.431954374
409,VISl,0.133333333,3.71E-12,,0.016666667,0.002248102,,0.016666667,0.0022481,,0.372001216,0.007233643
385,VISp,0.076271186,0.052193757,,0.072674419,0.037829056,,0.019774011,0.009431533,,0.777787952,0.640196009
425,VISpl,,,,,,,,,,,
533,VISpm,0.119565217,0.066929432,,0.043478261,0.016197748,,0.065217391,0.021252742,,0.75365516,0.576753546
312782574,VISli,0,0,,0.105263158,0.038750154,,0.026315789,0.00345556,,0.447368422,0.294762371
312782628,VISpor,,,,,,,,,,,
39,ACAd,0.066298343,0.037888189,,0.107784431,0.068737711,,0.038674033,0.004664233,,0.62501961,0.476610154
48,ACAv,0.086538462,0.045288907,,0.119565217,0.066929431,,0.019230769,0.00473566,,0.609401715,0.395075051
