source name,source #neur,target name,target #neur,Granger score,corrected p,eid
IRN,23,PARN,34,0.11396525083921309,0.014241301281867801,c4432264-e1ae-446f-8a07-6280abade813
RSPv,49,RSPd,18,0.09423089020529289,1.0,537677fe-1e24-4755-948c-fa4a4e8ecce5
RSPv,23,RSPd,16,0.08940329961083548,1.0,f819d499-8bf7-4da0-a431-15377a8319d5
CA1,82,DG,90,0.08585294128072558,0.014241301281867801,fcd49e34-f07b-441c-b2ac-cb8c462ec5ac
LSr,159,PS,26,0.08133992926634256,0.014241301281867801,4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a
VII,19,IRN,29,0.07400894802666139,1.0,9468fa93-21ae-4984-955c-e8402e280c83
TTd,53,ORBvl,111,0.053718878196573686,0.014241301281867801,dd4da095-4a99-4bf3-9727-f735077dba66
ENTl,109,ENTm,22,0.053121332317295794,1.0,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8
AON,54,DP,15,0.05257780483255718,1.0,3f6e25ae-c007-4dc3-aa77-450fd5705046
PIR,55,ACB,14,0.05188957225892162,0.014241301281867801,493170a6-fd94-4ee4-884f-cc018c17eeb9
TTd,53,DP,22,0.05176957727382865,0.014241301281867801,dd4da095-4a99-4bf3-9727-f735077dba66
VISam,16,VISa,31,0.04992914819913917,0.04080898366927816,ecb5520d-1358-434c-95ec-93687ecd1396
DG,16,CA1,23,0.04556575140661403,0.7439740061036935,ecb5520d-1358-434c-95ec-93687ecd1396
PRNr,36,VISa,22,0.044992607900332396,1.0,54238fd6-d2d0-4408-b1a9-d19d24fd29ce
CA1,20,CA3,11,0.043698692724167015,0.014241301281867801,3e6a97d3-3991-49e2-b346-6948cb4580fb
EPv,41,PAA,18,0.04299081459320679,0.014241301281867801,ff4187b5-4176-4e39-8894-53a24b7cf36b
RSPv,28,PPT,15,0.04294740308552979,0.26849669841896906,28338153-4113-485b-835b-91cb96d984f2
