Beryl,Beryl.1,Cosmos,Cosmos.1,# recordings,# neurons,# good neurons,canonical,stim_dec,stim_man,stim_euc,stim_glm,choice_dec,choice_man,choice_euc,choice_glm,fback_dec,fback_man,fback_euc,fback_glm,speed_dec,speed_glm,velocity_dec,velocity_glm,stim_dec_sig,stim_man_sig,stim_euc_sig,choice_dec_sig,choice_man_sig,choice_euc_sig,fback_dec_sig,fback_man_sig,fback_euc_sig,speed_dec_sig,velocity_dec_sig,prior_dec_ep,prior_dec_wf,prior_dec_ep_sig,prior_dec_wf_sig
FRP,Frontal pole cerebral cortex,Isocortex,Isocortex,11,812,88,True,-0.0,0.0,-0.22,-2.39,0.14,0.05,-0.1,-3.14,0.19,0.16,-0.32,-2.45,0.13,-2.52,0.06,-3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0160730768271149,0.0018142783576711,0.0,1.0
MOp,Primary motor area,Isocortex,Isocortex,37,8796,1458,True,0.01,0.0,-0.98,-2.73,0.14,0.05,-0.67,-3.15,0.34,0.24,-0.11,-2.09,0.14,-2.46,0.23,-2.79,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0607789653443083,0.0253634971799541,1.0,1.0
MOs,Secondary motor area,Isocortex,Isocortex,60,10023,1293,True,0.04,0.0,-0.59,-2.6,0.17,0.07,-0.36,-3.23,0.25,0.16,-0.26,-2.22,0.08,-2.29,0.1,-2.88,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0523267469191827,0.0320869922098281,1.0,1.0
SSp-n,Primary somatosensory area nose,Isocortex,Isocortex,9,1214,72,True,-0.01,0.0,-0.86,-2.96,0.18,0.02,-0.57,-3.36,0.11,0.09,0.4,-1.99,0.02,-2.81,0.1,-4.74,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1128360422855091,0.0160244558357132,1.0,1.0
SSp-bfd,Primary somatosensory area barrel field,Isocortex,Isocortex,32,5226,488,True,0.01,0.01,-1.04,-3.03,0.1,0.04,-0.82,-3.32,0.17,0.1,-0.48,-2.59,0.06,-2.6,0.05,-3.14,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0253140392110965,0.0200617513659657,1.0,1.0
SSp-ll,Primary somatosensory area lower limb,Isocortex,Isocortex,13,1434,130,True,0.01,0.0,-0.88,-2.73,0.08,0.06,-0.82,-3.21,0.14,0.08,-0.21,-2.19,0.08,-2.23,0.2,-2.81,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0334076401133626,0.0186132459073211,1.0,1.0
SSp-m,Primary somatosensory area mouth,Isocortex,Isocortex,13,3567,354,True,-0.01,0.0,-1.03,-2.92,0.08,0.01,-0.94,-3.4,0.32,0.19,-0.09,-2.08,0.07,-2.77,0.1,-3.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0266640817971929,0.0180627511925901,0.0,1.0
SSp-ul,Primary somatosensory area upper limb,Isocortex,Isocortex,16,1761,196,True,0.05,0.01,-0.44,-2.58,0.19,0.08,-0.38,-2.91,0.18,0.18,-0.06,-2.31,0.12,-2.46,0.22,-2.71,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0689487619705411,0.0273474321249674,1.0,1.0
SSp-tr,Primary somatosensory area trunk,Isocortex,Isocortex,15,1930,303,True,0.01,0.0,-1.02,-2.88,0.07,0.04,-0.91,-3.22,0.12,0.04,-0.27,-2.31,0.1,-2.8,0.07,-3.39,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0463227044628136,0.0135623623956695,1.0,1.0
SSp-un,Primary somatosensory area unassigned,Isocortex,Isocortex,8,600,67,True,-0.01,0.0,-0.88,-2.63,0.13,0.22,-0.36,-2.93,0.12,0.0,0.16,-2.17,0.16,-2.09,0.07,-3.62,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0304984008975436,0.0174329215502183,1.0,1.0
