,pid,Beryl,nclus,#pids
0,47be9ae4-290f-46ab-b047-952bc3a1a509,COAp,16,12
1,47be9ae4-290f-46ab-b047-952bc3a1a509,PA,10,10
2,47be9ae4-290f-46ab-b047-952bc3a1a509,BMA,105,9
3,47be9ae4-290f-46ab-b047-952bc3a1a509,IA,13,2
4,47be9ae4-290f-46ab-b047-952bc3a1a509,CEA,81,9
5,47be9ae4-290f-46ab-b047-952bc3a1a509,GPe,24,8
6,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,VPM,13,33
7,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,LGd,28,20
10,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,CA1,11,118
15,1e176f17-d00f-49bb-87ff-26d237b525f1,VPM,14,33
20,1e176f17-d00f-49bb-87ff-26d237b525f1,CA1,12,118
21,1e176f17-d00f-49bb-87ff-26d237b525f1,VISa,18,41
22,701026df-e170-4ca7-88aa-eb0b95ef6ba1,ENTm,36,12
26,701026df-e170-4ca7-88aa-eb0b95ef6ba1,CA1,31,118
27,6506252f-1141-4e11-8816-4db01b71dda0,COAp,65,12
28,6506252f-1141-4e11-8816-4db01b71dda0,PA,42,10
31,6506252f-1141-4e11-8816-4db01b71dda0,CA3,27,59
35,d213e786-4b1c-477d-a710-766d69fa1ac1,VISp,11,26
36,73ff4936-8cd3-4a75-a772-f563e67d249d,BST,14,10
37,73ff4936-8cd3-4a75-a772-f563e67d249d,CP,28,58
38,73ff4936-8cd3-4a75-a772-f563e67d249d,MOp,17,30
39,ac088ddb-9e1e-49ae-b341-46a8445cf809,LHA,15,9
41,ac088ddb-9e1e-49ae-b341-46a8445cf809,AM,21,6
43,664600f8-a8b6-416c-adca-3ad7b423f771,AAA,10,4
46,664600f8-a8b6-416c-adca-3ad7b423f771,CP,18,58
48,7b05cccc-44f6-4491-a0ea-e38d6e95513d,PIR,29,19
49,7b05cccc-44f6-4491-a0ea-e38d6e95513d,EPd,17,8
50,7b05cccc-44f6-4491-a0ea-e38d6e95513d,AIv,19,5
51,7b05cccc-44f6-4491-a0ea-e38d6e95513d,CLA,13,4
53,7b05cccc-44f6-4491-a0ea-e38d6e95513d,MOp,20,30
54,99993a2b-588e-4c0c-bfec-e3dfb4f61534,AON,38,14
55,99993a2b-588e-4c0c-bfec-e3dfb4f61534,ORBl,51,9
56,99993a2b-588e-4c0c-bfec-e3dfb4f61534,AId,23,10
57,99993a2b-588e-4c0c-bfec-e3dfb4f61534,MOs,12,39
58,298e2a70-9801-45f0-b91c-d6bb9718427e,AON,37,14
59,298e2a70-9801-45f0-b91c-d6bb9718427e,TTd,23,11
60,298e2a70-9801-45f0-b91c-d6bb9718427e,DP,33,13
61,298e2a70-9801-45f0-b91c-d6bb9718427e,ILA,42,9
62,298e2a70-9801-45f0-b91c-d6bb9718427e,PL,50,15
63,298e2a70-9801-45f0-b91c-d6bb9718427e,ACAd,31,15
64,298e2a70-9801-45f0-b91c-d6bb9718427e,MOs,15,39
66,9dff5593-e781-41a3-a6f9-20d06085e4f8,SI,17,23
70,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a,CP,81,58
71,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a,SSp-m,33,11
72,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a,SSp-ul,26,12
77,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,Eth,18,16
78,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,SGN,19,7
79,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,LP,31,59
82,511afaa5-fdc4-4166-b4c0-4629ec5e652e,ANcr2,15,14
84,decc8d40-cf74-4263-ae9d-a0cc68b47e86,CP,52,58
