,Session,TrialEvents,Wheel,leftVideo,rightVideo,bodyVideo,leftDLC,rightDLC,bodyDLC
0,6713a4a7-faed-4df2-acab-ee4e63326f8d,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,FAIL,FAIL,FAIL
1,56956777-dca5-468c-87cb-78150432cc57,PASS,PASS,WARNING,FAIL,FAIL,FAIL,FAIL,FAIL
2,a8a8af78-16de-4841-ab07-fde4b5281a03,PASS,PASS,WARNING,FAIL,FAIL,FAIL,FAIL,FAIL
3,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,PASS,PASS,WARNING,FAIL,FAIL,FAIL,FAIL,FAIL
4,8c33abef-3d3e-4d42-9f27-445e9def08f9,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
5,ebe2efe3-e8a1-451a-8947-76ef42427cc9,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
6,77e6dc6a-66ed-433c-b1a2-778c914f523c,PASS,PASS,FAIL,FAIL,WARNING,FAIL,FAIL,PASS
7,5569f363-0934-464e-9a5b-77c8e67791a1,PASS,PASS,FAIL,FAIL,WARNING,FAIL,FAIL,PASS
8,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,PASS,PASS,WARNING,FAIL,WARNING,PASS,FAIL,PASS
9,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
10,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
11,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
12,21d21fc3-4201-4edc-802a-c67b61952548,PASS,PASS,WARNING,WARNING,WARNING,FAIL,PASS,PASS
13,6ed57216-498d-48a6-b48b-a243a34710ea,PASS,PASS,WARNING,WARNING,WARNING,FAIL,FAIL,PASS
14,35ed605c-1a1a-47b1-86ff-2b56144f55af,PASS,PASS,WARNING,WARNING,WARNING,FAIL,FAIL,PASS
15,fa1f26a1-eb49-4b24-917e-19f02a18ac61,PASS,PASS,WARNING,WARNING,WARNING,FAIL,FAIL,PASS
16,ee212778-3903-4f5b-ac4b-a72f22debf03,PASS,PASS,FAIL,WARNING,WARNING,PASS,FAIL,PASS
17,91a3353a-2da1-420d-8c7c-fad2fedfdd18,PASS,PASS,WARNING,WARNING,WARNING,FAIL,PASS,PASS
18,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,PASS,PASS,WARNING,WARNING,WARNING,WARNING,FAIL,PASS
19,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,PASS,PASS,PASS,FAIL,WARNING,WARNING,FAIL,PASS
20,71855308-7e54-41d7-a7a4-b042e78e3b4f,PASS,PASS,WARNING,WARNING,WARNING,PASS,FAIL,PASS
21,f359281f-6941-4bfd-90d4-940be22ed3c3,PASS,PASS,PASS,WARNING,WARNING,PASS,FAIL,PASS
22,51e53aff-1d5d-4182-a684-aba783d50ae5,PASS,PASS,WARNING,PASS,WARNING,PASS,WARNING,PASS
23,537677fe-1e24-4755-948c-fa4a4e8ecce5,PASS,PASS,WARNING,PASS,WARNING,PASS,PASS,PASS
24,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,PASS,PASS,WARNING,WARNING,WARNING,PASS,WARNING,PASS
25,d32876dd-8303-4720-8e7e-20678dc2fd71,PASS,PASS,PASS,WARNING,WARNING,PASS,PASS,PASS
26,72982282-e493-45ee-87ce-aa45cb3a3ec1,PASS,PASS,PASS,WARNING,WARNING,PASS,PASS,PASS
27,6434f2f5-6bce-42b8-8563-d93d493613a2,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
28,64e3fb86-928c-4079-865c-b364205b502e,PASS,PASS,WARNING,WARNING,WARNING,PASS,WARNING,PASS
29,15948667-747b-4702-9d53-354ac70e9119,PASS,PASS,WARNING,FAIL,WARNING,PASS,FAIL,PASS
30,288bfbf3-3700-4abe-b6e4-130b5c541e61,PASS,PASS,PASS,WARNING,WARNING,PASS,PASS,PASS
31,fc43390d-457e-463a-9fd4-b94a0a8b48f5,PASS,PASS,PASS,PASS,WARNING,PASS,FAIL,PASS
32,a405053a-eb13-4aa4-850c-5a337e5dc7fd,PASS,PASS,WARNING,WARNING,WARNING,FAIL,FAIL,PASS
33,93ad879a-aa42-4150-83e1-38773c9785e4,PASS,PASS,WARNING,PASS,WARNING,WARNING,FAIL,PASS
34,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,PASS,PASS,WARNING,WARNING,WARNING,PASS,FAIL,PASS
35,034e726f-b35f-41e0-8d6c-a22cc32391fb,PASS,PASS,WARNING,WARNING,WARNING,FAIL,PASS,PASS
36,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
37,fa704052-147e-46f6-b190-a65b837e605e,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
38,46794e05-3f6a-4d35-afb3-9165091a5a74,PASS,PASS,WARNING,WARNING,WARNING,PASS,WARNING,PASS
39,7939711b-8b4d-4251-b698-b97c1eaa846e,PASS,PASS,FAIL,WARNING,WARNING,PASS,PASS,PASS
40,b52182e7-39f6-4914-9717-136db589706e,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
41,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
42,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,PASS,PASS,PASS,WARNING,FAIL,FAIL,FAIL,FAIL
43,c99d53e6-c317-4c53-99ba-070b26673ac4,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
44,d839491f-55d8-4cbe-a298-7839208ba12b,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
45,ecb5520d-1358-434c-95ec-93687ecd1396,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
46,3663d82b-f197-4e8b-b299-7b803a155b84,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
47,5386aba9-9b97-4557-abcd-abc2da66b863,PASS,PASS,WARNING,WARNING,PASS,FAIL,WARNING,PASS
48,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,PASS,PASS,WARNING,WARNING,WARNING,FAIL,FAIL,FAIL
49,4b00df29-3769-43be-bb40-128b1cba6d35,PASS,PASS,WARNING,WARNING,WARNING,WARNING,PASS,PASS
50,12dc8b34-b18e-4cdd-90a9-da134a9be79c,PASS,PASS,WARNING,WARNING,WARNING,WARNING,PASS,PASS
51,0deb75fb-9088-42d9-b744-012fb8fc4afb,PASS,PASS,WARNING,WARNING,WARNING,FAIL,PASS,PASS
52,eef82e27-c20e-48da-b4b7-c443031649e3,PASS,PASS,WARNING,WARNING,WARNING,WARNING,PASS,PASS
53,810b1e07-009e-4ebe-930a-915e4cd8ece4,PASS,PASS,WARNING,WARNING,WARNING,WARNING,PASS,PASS
54,a71175be-d1fd-47a3-aa93-b830ea3634a1,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
55,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,PASS,PASS,WARNING,WARNING,PASS,FAIL,FAIL,PASS
56,f312aaec-3b6f-44b3-86b4-3a0c119c0438,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
57,fb70ebf7-8175-42b0-9b7a-7c6e8612226e,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
58,28741f91-c837-4147-939e-918d38d849f2,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
59,d2f5a130-b981-4546-8858-c94ae1da75ff,PASS,PASS,WARNING,WARNING,WARNING,WARNING,PASS,PASS
60,57b5ae8f-d446-4161-b439-b191c5e3e77b,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
61,dda5fc59-f09a-4256-9fb5-66c67667a466,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
62,d16a9a8d-5f42-4b49-ba58-1746f807fcc1,PASS,PASS,WARNING,WARNING,WARNING,PASS,WARNING,PASS
63,37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
64,2e6e179c-fccc-4e8f-9448-ce5b6858a183,PASS,PASS,PASS,WARNING,WARNING,PASS,FAIL,PASS
65,1191f865-b10a-45c8-9c48-24a980fd9402,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
66,f10efe41-0dc0-44d0-8f26-5ff68dca23e9,PASS,PASS,WARNING,WARNING,WARNING,PASS,PASS,PASS
67,6364ff7f-6471-415a-ab9e-632a12052690,PASS,PASS,WARNING,PASS,WARNING,PASS,PASS,PASS
68,7be8fec4-406b-4e74-8548-d2885dcc3d5e,PASS,PASS,WARNING,WARNING,PASS,PASS,PASS,PASS
