,PID,Quality (Raw data),Quality (Spike sorting),Discontinuity,Jitter,Horizontal band,Loss of spikes
0,00a824c0-e060-495f-9ebc-79c82fef4c67,PASS,PASS,False,False,False,False
1,00a96dee-1e8b-44cc-9cc3-aca704d2b594,PASS,FAIL,False,True,False,False
2,01864e9d-0dbe-41d4-9e3a-0285348ecfc1,PASS,WARNING,True,False,False,False
3,0228bcfd-632e-49bd-acd4-c334cf9213e9,PASS,FAIL,False,True,False,False
4,02328ef5-47d4-4690-b020-04b6315aa2d6,PASS,PASS,False,False,False,False
5,0259543e-1ca3-48e7-95c9-53f9e4c9bfcc,PASS,PASS,False,False,False,False
6,02cc03e4-8015-4050-bb42-6c832091febb,PASS,WARNING,True,False,False,False
7,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,PASS,PASS,False,False,False,False
8,03c42ea1-1e04-4a3e-9b04-46d8568dcd02,PASS,FAIL,False,True,False,False
9,03d2d8d1-a116-4763-8425-4ef7b1c1bd35,PASS,PASS,False,False,False,False
10,04690e35-ab38-41db-982c-50cbdf8d0dd1,PASS,N.A.,False,False,False,False
11,04c9890f-2276-4c20-854f-305ff5c9b6cf,PASS,FAIL,False,True,False,False
12,04db6b9e-a80c-4507-a98e-ad76294ac444,PASS,FAIL,False,True,False,False
13,05ccc92c-fcb0-4e92-84d3-de033890c7a8,PASS,PASS,False,False,False,False
14,05ec6af9-6c83-422d-91a3-ba815fa65e92,PASS,FAIL,False,True,False,False
15,0685d767-80a2-49b6-a51a-0e9b1dd7a14d,PASS,FAIL,False,True,False,False
16,06c6741e-9f2a-4114-8ca9-0dc5ccc951e6,PASS,WARNING,False,True,False,False
17,06cb2ee3-0fb8-4ace-acbe-19c716f3ca40,PASS,PASS,False,False,False,False
18,06d42449-d6ac-4c35-8f85-24ecfbc08bc1,PASS,PASS,False,False,False,False
19,071f02e7-752a-4094-af79-8dd764e9d85d,PASS,PASS,False,False,False,False
20,0777b1bf-964b-49b7-888b-8a6c9df09c3b,PASS,PASS,False,False,False,False
21,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,PASS,PASS,False,False,False,False
22,07c79864-6fff-4e72-9fce-1c982e3457f9,PASS,WARNING,False,False,False,True
23,082187a0-121f-47d5-962a-a9ad467e7124,PASS,PASS,False,False,False,False
24,0851db85-2889-4070-ac18-a40e8ebd96ba,PASS,PASS,False,False,False,False
25,08ed0b3c-9f94-4c1f-8522-3d42a642a6b0,PASS,WARNING,False,True,False,False
26,0909252c-3ad0-413f-96f5-7eff885b50aa,PASS,FAIL,False,True,False,False
27,091392a5-73f6-40f3-8552-fa917cf96deb,PASS,PASS,False,False,False,False
28,0925fb1b-cf83-4f55-bfb7-aa52f993a404,PASS,PASS,False,False,False,False
29,099c0519-640b-4eb7-867c-998dc337579d,PASS,PASS,False,False,False,False
30,09b62a15-dd8b-4f47-881f-d3f1e5ea5ff4,WARNING,WARNING,False,True,False,False
31,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,PASS,PASS,False,False,False,False
32,0aafb6f1-6c10-4886-8f03-543988e02d9e,PASS,WARNING,True,False,False,False
33,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,PASS,PASS,False,False,False,False
34,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,PASS,PASS,False,False,False,False
35,0ce74616-abf8-47c2-86d9-f821cd25efd3,PASS,FAIL,False,True,False,False
36,0dfc64c5-80bc-43b6-a7c4-2fb6e638e9f3,PASS,PASS,False,False,False,False
37,0e8d3cb3-2e4c-47a0-8bb4-65d2cc3161c6,WARNING,PASS,False,False,False,False
38,0eb65305-bb95-4bf1-a154-1b810c0cff25,PASS,PASS,False,False,False,False
39,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,PASS,FAIL,False,True,False,True
40,0f306cdc-878a-4ea0-9e91-b97736731637,WARNING,WARNING,False,False,False,True
41,0fa33419-e7b9-4d00-8cab-3b51f93ecf0c,PASS,PASS,False,False,False,False
42,0fcb5f66-4d56-4247-8413-aef51e484e67,PASS,FAIL,False,True,False,False
43,100433fa-2c59-4432-8295-aa27657fe3fb,PASS,PASS,False,False,False,False
44,10ef1dcd-093c-4839-8f38-90a25edefb49,PASS,FAIL,False,True,False,False
