,eid,label,mp4,timestamps,frames_match,dlc,features,licks,duration,videoQC,dlcQC,videoQC_focus,videoQC_position,videoQC_framerate,videoQC_pin_state,videoQC_brightness,videoQC_resolution,videoQC_timestamps,videoQC_camera_times,videoQC_file_headers,videoQC_dropped_frames,videoQC_wheel_alignment,dlcQC_paw_far_nan,dlcQC_mean_in_bbox,dlcQC_paw_close_nan,dlcQC_pupil_blocked,dlcQC_trace_all_nan,dlcQC_lick_detection,dlcQC_pupil_diameter_snr,dlcQC_time_trace_length_match
0,6713a4a7-faed-4df2-acab-ee4e63326f8d,left,True,True,False,True,False,False,5122.0,NOT_COMPUTED,FAIL,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,False,NOT_COMPUTED,False,True,True,NOT_COMPUTED,False
1,6713a4a7-faed-4df2-acab-ee4e63326f8d,right,True,True,False,True,False,False,5131.0,NOT_COMPUTED,FAIL,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,True,NOT_COMPUTED,False,True,True,NOT_COMPUTED,False
2,6713a4a7-faed-4df2-acab-ee4e63326f8d,body,True,True,False,True,False,False,5155.0,NOT_COMPUTED,FAIL,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,True,,,True,,,False
3,56956777-dca5-468c-87cb-78150432cc57,left,True,True,True,True,True,True,3627.0,WARNING,FAIL,True,True,"[True, 60.212]",,True,True,True,"[True, 0]",True,,"[True, 2]",True,False,True,False,False,True,"[True, None]",False
4,56956777-dca5-468c-87cb-78150432cc57,right,True,True,True,True,True,True,3632.0,FAIL,FAIL,True,True,"[True, 150.966]",,False,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,False,True,True,"[True, None]",False
5,56956777-dca5-468c-87cb-78150432cc57,body,True,True,True,True,False,True,3649.0,FAIL,FAIL,True,False,"[True, 30.193]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,False
6,a8a8af78-16de-4841-ab07-fde4b5281a03,left,True,True,True,True,True,True,3751.0,WARNING,FAIL,True,True,"[True, 60.212]",,True,True,True,"[True, 0]",True,,"[True, 1]",True,False,True,True,True,True,"[False, 7.671]",True
7,a8a8af78-16de-4841-ab07-fde4b5281a03,right,True,True,True,True,True,True,3758.0,FAIL,FAIL,True,True,"[True, 150.966]",,False,True,True,"[True, 0]",True,,"[True, 0]",True,True,True,False,True,True,"[True, None]",True
8,a8a8af78-16de-4841-ab07-fde4b5281a03,body,True,True,True,True,False,True,3775.0,FAIL,FAIL,True,False,"[True, 30.193]",,True,True,True,"[True, 0]",True,,,,False,,,True,,,True
9,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,left,True,True,True,True,True,True,3820.0,WARNING,FAIL,True,True,"[True, 60.212]",,True,True,True,"[True, 0]",True,,"[True, 3]",False,False,True,True,True,True,"[True, 13.777]",False
10,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,right,True,True,True,True,True,True,3827.0,FAIL,FAIL,False,True,"[True, 150.966]",,False,True,True,"[True, 0]",True,,"[True, 8]",True,False,True,True,True,True,"[False, 1.348]",False
11,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,body,True,True,True,True,False,True,3844.0,FAIL,FAIL,True,False,"[True, 30.193]",,True,True,True,"[True, 0]",True,,,,False,,,True,,,False
12,8c33abef-3d3e-4d42-9f27-445e9def08f9,left,True,True,True,True,True,True,5963.0,FAIL,FAIL,True,False,"[True, 60.212]",,True,True,True,"[True, 0]",True,,"[True, 1]",True,False,False,False,True,True,"[True, None]",True
13,8c33abef-3d3e-4d42-9f27-445e9def08f9,right,True,True,True,True,True,True,5973.0,FAIL,FAIL,True,False,"[True, 150.966]",,True,True,True,"[True, 0]",True,,"[True, -32]",False,False,True,True,True,True,"[True, 6.331]",True
14,8c33abef-3d3e-4d42-9f27-445e9def08f9,body,True,True,True,True,False,True,6001.0,FAIL,FAIL,True,False,"[True, 30.193]",,True,True,True,"[True, 0]",True,,,,False,,,True,,,True
15,ebe2efe3-e8a1-451a-8947-76ef42427cc9,left,True,True,True,True,True,True,4631.0,FAIL,FAIL,True,False,"[True, 60.212]","[True, 6, 1]",True,True,True,"[True, 0]",True,"[True, 0, 1]","[True, 0]",True,False,True,True,False,True,"[False, 2.067]",True
16,ebe2efe3-e8a1-451a-8947-76ef42427cc9,right,True,True,True,True,True,True,4638.0,FAIL,FAIL,True,False,"[True, 150.966]","[True, 4, 0]",True,True,True,"[True, 0]",True,"[True, 5, 0]","[True, -2]",False,False,True,True,True,True,"[True, 6.329]",True
17,ebe2efe3-e8a1-451a-8947-76ef42427cc9,body,True,True,True,True,False,True,4660.0,FAIL,FAIL,True,False,"[True, 30.193]","[True, 7, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]",,,False,,,True,,,True
18,77e6dc6a-66ed-433c-b1a2-778c914f523c,left,True,True,True,True,True,True,5135.0,FAIL,FAIL,True,False,"[True, 60.212]","[True, 1, 0]",True,True,True,"[True, 0]",True,"[True, 0, 0]","[True, 1]",False,False,False,False,True,True,"[True, None]",True
