,eid,Paw,Pupil,Nose_tip,Licks
0,6713a4a7-faed-4df2-acab-ee4e63326f8d,,,,
1,56956777-dca5-468c-87cb-78150432cc57,,,,WARNING
2,56956777-dca5-468c-87cb-78150432cc57,,,,WARNING
3,a8a8af78-16de-4841-ab07-fde4b5281a03,PASS,,,FAIL
4,a8a8af78-16de-4841-ab07-fde4b5281a03,PASS,,,FAIL
5,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,PASS,,,FAIL
6,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,PASS,,,FAIL
7,8c33abef-3d3e-4d42-9f27-445e9def08f9,,,,
8,ebe2efe3-e8a1-451a-8947-76ef42427cc9,PASS,,,FAIL
9,ebe2efe3-e8a1-451a-8947-76ef42427cc9,PASS,,,FAIL
10,77e6dc6a-66ed-433c-b1a2-778c914f523c,FAIL,,,PASS
11,5569f363-0934-464e-9a5b-77c8e67791a1,FAIL,,,-
12,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,PASS,PASS,PASS,PASS
13,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,PASS,PASS,PASS,PASS
14,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,PASS,WARNING,PASS,PASS
15,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,PASS,WARNING,PASS,FAIL
16,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,PASS,WARNING,PASS,FAIL
17,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,PASS,WARNING,PASS,PASS
18,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,PASS,WARNING,PASS,PASS
19,21d21fc3-4201-4edc-802a-c67b61952548,,,,PASS
20,6ed57216-498d-48a6-b48b-a243a34710ea,,,,WARNING
21,6ed57216-498d-48a6-b48b-a243a34710ea,,,,WARNING
22,35ed605c-1a1a-47b1-86ff-2b56144f55af,,,,PASS
23,fa1f26a1-eb49-4b24-917e-19f02a18ac61,,,,PASS
24,fa1f26a1-eb49-4b24-917e-19f02a18ac61,,,,PASS
25,ee212778-3903-4f5b-ac4b-a72f22debf03,,,,WARNING
26,ee212778-3903-4f5b-ac4b-a72f22debf03,,,,WARNING
27,91a3353a-2da1-420d-8c7c-fad2fedfdd18,PASS,FAIL,PASS,PASS
28,91a3353a-2da1-420d-8c7c-fad2fedfdd18,PASS,FAIL,PASS,PASS
29,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,PASS,WARNING,PASS,PASS
30,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,PASS,WARNING,PASS,PASS
31,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,,,PASS
32,71855308-7e54-41d7-a7a4-b042e78e3b4f,,,,WARNING
33,71855308-7e54-41d7-a7a4-b042e78e3b4f,,,,WARNING
34,f359281f-6941-4bfd-90d4-940be22ed3c3,,,,FAIL
35,51e53aff-1d5d-4182-a684-aba783d50ae5,PASS,PASS,PASS,FAIL
36,51e53aff-1d5d-4182-a684-aba783d50ae5,PASS,PASS,PASS,FAIL
37,537677fe-1e24-4755-948c-fa4a4e8ecce5,PASS,PASS,PASS,WARNING
38,537677fe-1e24-4755-948c-fa4a4e8ecce5,PASS,PASS,PASS,WARNING
39,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,PASS,PASS,PASS,PASS
40,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,PASS,PASS,PASS,PASS
41,d32876dd-8303-4720-8e7e-20678dc2fd71,PASS,WARNING,PASS,PASS
42,72982282-e493-45ee-87ce-aa45cb3a3ec1,PASS,WARNING,PASS,PASS
43,72982282-e493-45ee-87ce-aa45cb3a3ec1,PASS,WARNING,PASS,PASS
44,6434f2f5-6bce-42b8-8563-d93d493613a2,PASS,WARNING,PASS,PASS
45,64e3fb86-928c-4079-865c-b364205b502e,,,,
46,15948667-747b-4702-9d53-354ac70e9119,PASS,WARNING,PASS,PASS
47,15948667-747b-4702-9d53-354ac70e9119,PASS,WARNING,PASS,PASS
48,288bfbf3-3700-4abe-b6e4-130b5c541e61,PASS,WARNING,PASS,PASS
49,288bfbf3-3700-4abe-b6e4-130b5c541e61,PASS,WARNING,PASS,PASS
50,fc43390d-457e-463a-9fd4-b94a0a8b48f5,PASS,WARNING,PASS,PASS
51,a405053a-eb13-4aa4-850c-5a337e5dc7fd,,,,PASS
52,93ad879a-aa42-4150-83e1-38773c9785e4,PASS,PASS,PASS,WARNING
53,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,PASS,PASS,PASS,WARNING
54,034e726f-b35f-41e0-8d6c-a22cc32391fb,PASS,WARNING,PASS,PASS
55,034e726f-b35f-41e0-8d6c-a22cc32391fb,PASS,WARNING,PASS,PASS
56,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,PASS,WARNING,PASS,PASS
57,fa704052-147e-46f6-b190-a65b837e605e,PASS,PASS,PASS,PASS
58,fa704052-147e-46f6-b190-a65b837e605e,PASS,PASS,PASS,PASS
59,46794e05-3f6a-4d35-afb3-9165091a5a74,PASS,PASS,PASS,FAIL
60,7939711b-8b4d-4251-b698-b97c1eaa846e,PASS,PASS,PASS,PASS
61,b52182e7-39f6-4914-9717-136db589706e,PASS,PASS,PASS,PASS
62,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,PASS,WARNING,PASS,WARNING
63,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,PASS,WARNING,PASS,WARNING
64,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,,,,PASS
65,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,,,,PASS
66,c99d53e6-c317-4c53-99ba-070b26673ac4,PASS,WARNING,PASS,PASS
67,d839491f-55d8-4cbe-a298-7839208ba12b,PASS,WARNING,PASS,WARNING
68,d839491f-55d8-4cbe-a298-7839208ba12b,PASS,WARNING,PASS,WARNING
69,ecb5520d-1358-434c-95ec-93687ecd1396,PASS,WARNING,PASS,WARNING
70,ecb5520d-1358-434c-95ec-93687ecd1396,PASS,WARNING,PASS,WARNING
71,3663d82b-f197-4e8b-b299-7b803a155b84,PASS,WARNING,PASS,PASS
72,3663d82b-f197-4e8b-b299-7b803a155b84,PASS,WARNING,PASS,PASS
73,5386aba9-9b97-4557-abcd-abc2da66b863,PASS,WARNING,PASS,PASS
74,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,PASS,WARNING,PASS,PASS
75,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,PASS,WARNING,PASS,PASS
76,4b00df29-3769-43be-bb40-128b1cba6d35,PASS,WARNING,PASS,PASS
77,4b00df29-3769-43be-bb40-128b1cba6d35,PASS,WARNING,PASS,PASS
78,12dc8b34-b18e-4cdd-90a9-da134a9be79c,PASS,PASS,PASS,PASS
79,0deb75fb-9088-42d9-b744-012fb8fc4afb,PASS,WARNING,PASS,PASS
80,eef82e27-c20e-48da-b4b7-c443031649e3,PASS,PASS,PASS,PASS
81,810b1e07-009e-4ebe-930a-915e4cd8ece4,PASS,WARNING,PASS,PASS
82,a71175be-d1fd-47a3-aa93-b830ea3634a1,PASS,PASS,PASS,PASS
83,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,PASS,FAIL,PASS,PASS
84,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,PASS,FAIL,PASS,PASS
85,f312aaec-3b6f-44b3-86b4-3a0c119c0438,PASS,WARNING,PASS,PASS
86,f312aaec-3b6f-44b3-86b4-3a0c119c0438,PASS,WARNING,PASS,PASS
