,eid,label,video,times,mismatch,n_mismatch,duration
0,6713a4a7-faed-4df2-acab-ee4e63326f8d,left,True,True,True,-41842.0,5122.0
1,6713a4a7-faed-4df2-acab-ee4e63326f8d,right,True,True,True,-104774.0,5131.0
2,6713a4a7-faed-4df2-acab-ee4e63326f8d,body,True,True,True,-21052.0,5155.0
3,56956777-dca5-468c-87cb-78150432cc57,left,True,True,False,0.0,3627.0
4,56956777-dca5-468c-87cb-78150432cc57,right,True,True,False,0.0,3632.0
5,56956777-dca5-468c-87cb-78150432cc57,body,True,True,False,0.0,3649.0
6,a8a8af78-16de-4841-ab07-fde4b5281a03,left,True,True,False,0.0,3751.0
7,a8a8af78-16de-4841-ab07-fde4b5281a03,right,True,True,False,0.0,3758.0
8,a8a8af78-16de-4841-ab07-fde4b5281a03,body,True,True,False,0.0,3775.0
9,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,left,True,True,False,0.0,3820.0
10,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,right,True,True,False,0.0,3827.0
11,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,body,True,True,False,0.0,3844.0
12,8c33abef-3d3e-4d42-9f27-445e9def08f9,left,True,True,False,0.0,5963.0
13,8c33abef-3d3e-4d42-9f27-445e9def08f9,right,True,True,False,0.0,5973.0
14,8c33abef-3d3e-4d42-9f27-445e9def08f9,body,True,True,False,0.0,6001.0
15,ebe2efe3-e8a1-451a-8947-76ef42427cc9,left,True,True,False,0.0,4631.0
16,ebe2efe3-e8a1-451a-8947-76ef42427cc9,right,True,True,False,0.0,4638.0
17,ebe2efe3-e8a1-451a-8947-76ef42427cc9,body,True,True,False,0.0,4660.0
18,77e6dc6a-66ed-433c-b1a2-778c914f523c,left,True,True,False,0.0,5135.0
19,77e6dc6a-66ed-433c-b1a2-778c914f523c,right,True,True,False,0.0,5143.0
20,77e6dc6a-66ed-433c-b1a2-778c914f523c,body,True,True,False,0.0,5167.0
21,5569f363-0934-464e-9a5b-77c8e67791a1,left,True,True,False,0.0,5176.0
22,5569f363-0934-464e-9a5b-77c8e67791a1,right,True,True,False,0.0,5184.0
23,5569f363-0934-464e-9a5b-77c8e67791a1,body,True,True,False,0.0,5208.0
24,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,left,True,True,False,0.0,4314.0
25,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,right,True,True,False,0.0,695.0
26,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,body,True,True,False,0.0,1738.0
27,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,left,True,True,False,0.0,7977.0
28,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,right,True,True,False,0.0,1285.0
29,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,body,True,True,False,0.0,3214.0
30,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,left,True,True,False,0.0,7928.0
31,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,right,True,True,False,0.0,1277.0
32,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,body,True,True,False,0.0,3194.0
33,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,left,True,True,False,0.0,10249.0
